node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	17.911085	3.373469	0.000000	0.000000	0.000000	0.931656	0.000000	0.000000	1.536129	6.354954	23.253689	0.000000	12.024747	0.000000	0.000000	24.695116	9.998841	32.638008	0.000000	0.000000	0.000000	14.226610	4.600998	0.000000	0.000000	3.949933	7.369928	20.006042	0.000000	0.000000	17.786173	14.771529	0.000000	34.806438	0.000000	0.000000	0.000000	0.000000	0.000000	35.084621	0.000000	0.000000	30.329958	7.063280	0.000000	29.869062	0.000000	0.000000	0.000000	14.540052	0.000000	0.000000	0.000000	0.000000	3.793597	0.000000	0.000000	12.595746	24.708593
1	C	1.143898	0.000000	0.000000	0.000000	0.000000	7.052089	0.000000	2.201955	0.000000	0.000000	11.868150	0.000000	0.000000	0.000000	4.186105	10.434853	0.000000	0.715878	0.000000	0.000000	12.208919	7.300788	14.944285	0.000000	0.000000	1.142951	4.504945	0.023003	0.000000	0.000000	0.724089	7.581513	13.384230	0.000000	0.000000	13.073088	10.104593	0.000000	17.166981	5.061028	0.000000	0.000000	0.000000	0.000000	18.194736	0.000000	0.961440	21.835360	0.000000	0.000000	16.695507	0.000000	0.000000	0.000000	2.376575	3.749979	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.120325
2	O	0.000000	0.398882	0.000000	0.000000	0.000000	4.199652	0.000000	0.000000	0.000000	0.000000	1.234077	0.000000	0.000000	0.000000	3.877507	1.946839	0.000000	0.532739	0.000000	0.000000	3.482112	4.247545	3.693383	0.000000	0.000000	0.482925	1.072292	3.810634	0.000000	0.000000	2.275354	1.997886	4.419864	0.000000	0.000000	3.434938	1.528398	0.000000	7.652985	0.000000	0.000000	0.000000	0.000000	0.000000	7.806590	0.000000	0.828572	6.665999	0.000000	0.000000	7.588927	0.000000	0.000000	0.000000	4.162403	0.000000	0.000000	0.000000	0.992920	0.000000	0.000000	0.000000	0.173710	3.596078
3	C	0.000000	0.000000	0.000000	0.000000	0.000000	5.256814	0.000000	1.239635	0.000000	0.000000	7.652649	0.000000	0.000000	0.000000	3.817745	4.659781	0.000000	0.000000	0.000000	0.000000	6.557292	5.754205	6.296054	0.000000	0.000000	0.000000	1.662936	0.000000	0.000000	0.000000	0.000000	4.662952	7.120947	0.000000	0.000000	9.128089	5.693580	0.000000	9.376369	4.139515	0.000000	0.000000	0.000000	0.000000	9.998778	0.000000	0.713043	14.304122	0.000000	0.000000	8.811823	0.000000	0.000000	0.000000	0.000000	2.507647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.515480
4	C	0.000000	0.000000	0.000000	0.000000	0.000000	5.177181	0.000000	0.000000	0.000000	0.000000	1.025350	0.000000	0.000000	0.000000	2.904803	1.622882	0.000000	0.000000	0.000000	0.000000	4.531598	3.584720	3.516718	0.000000	0.000000	0.000000	1.765025	0.000000	0.000000	0.000000	0.000000	0.468578	3.410573	0.000000	0.000000	5.722849	3.012014	0.000000	5.465896	1.552203	0.000000	0.000000	0.000000	0.000000	5.132217	0.000000	0.000000	7.302610	1.227156	0.000000	2.707376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.586107	3.125952
5	H	6.089267	4.757428	0.000000	0.000000	0.000000	5.231644	3.255924	0.000000	0.000000	0.000000	8.700371	0.000000	0.000000	3.970282	3.239244	10.730541	0.000000	7.675517	0.000000	0.000000	8.377048	6.287904	15.201054	3.675871	0.000000	6.707377	3.954973	6.776929	0.000000	3.257299	4.834397	10.994263	11.218996	0.000000	0.000000	8.142936	6.237220	3.116824	15.462218	0.000000	2.035041	0.000000	0.000000	0.000000	17.362661	0.000000	2.289608	14.783962	0.000000	0.000000	20.619810	0.000000	0.000000	0.000000	13.023662	4.960340	0.000000	0.000000	5.412599	1.755082	5.609852	0.000000	0.057168	10.836881
6	H	6.030166	4.596962	0.000000	0.000000	0.000000	4.992862	3.025703	0.000000	0.000000	0.000000	8.746604	0.000000	0.000000	3.707231	3.028134	10.424988	0.000000	7.436307	0.000000	0.000000	8.164245	6.032172	14.791131	3.547149	0.000000	6.570446	3.786753	6.515800	0.000000	3.101350	4.665032	10.713134	11.022377	0.000000	0.000000	7.950882	6.196093	3.141361	14.907342	0.000000	2.007824	0.000000	0.000000	0.000000	16.778934	0.000000	2.298086	14.416292	0.000000	0.000000	19.942644	0.000000	0.000000	0.000000	12.559180	5.021816	0.000000	0.000000	5.205034	1.601391	5.470113	0.000000	0.000000	10.553430
7	H	5.959488	4.297922	0.000000	0.000000	0.000000	4.543690	2.552143	0.136155	0.000000	0.000000	8.915361	0.000000	0.000000	3.168859	2.625406	9.843750	0.000000	6.975332	0.000000	0.000000	7.770717	5.564660	14.007585	3.306403	0.000000	6.333564	3.446120	6.018228	0.000000	2.792568	4.355547	10.217003	10.689016	0.000000	0.000000	7.621058	6.144389	3.210332	13.856793	0.000000	1.966600	0.000000	0.000000	0.000000	15.679805	0.000000	2.336657	13.758875	0.000000	0.000000	18.671930	0.000000	0.000000	0.000000	11.685049	5.180724	0.000000	0.000000	4.829158	1.274132	5.212976	0.000000	0.000000	10.018480
8	H	1.695317	1.479739	0.000000	0.000000	0.000000	0.370346	0.000000	0.803119	0.000000	1.192495	3.968271	0.000000	0.000000	0.144681	0.000000	2.700312	0.000000	2.298996	0.000000	0.000000	2.826342	0.309079	4.080192	0.927945	0.000000	2.154882	0.695476	1.923006	0.410301	0.000000	1.383094	2.273217	4.315235	0.531229	0.000000	1.531707	2.984936	1.651336	3.361038	1.456227	0.113309	0.000000	0.000000	0.000000	4.000375	0.000000	1.225070	4.196560	0.000000	0.000000	4.392283	0.000000	0.000000	0.000000	1.999331	2.287199	0.000000	0.000000	0.836215	0.000000	1.202105	0.000000	0.000000	3.203202
9	H	0.557194	0.909420	0.000000	0.000000	0.000000	0.358094	0.000000	0.589459	0.000000	0.831877	2.260440	0.000000	0.000000	0.131109	0.000000	1.564930	0.000000	1.158441	0.000000	0.000000	1.759800	0.000000	2.261655	0.538517	0.000000	1.083702	0.497735	0.998137	0.769917	0.000000	0.498680	0.977444	2.242930	0.000000	0.000000	0.727645	1.866351	0.907404	1.731402	1.431010	0.000000	0.000000	0.375219	0.000000	1.996055	0.000000	0.481422	2.470766	0.000000	0.000000	2.065938	0.000000	0.000000	0.000000	0.104003	1.195817	0.000000	0.000000	0.158833	0.000000	0.278770	0.000000	0.000000	1.678631
