node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	15.526476	2.003987	0.000000	0.000000	0.000000	3.163924	0.000000	0.000000	0.654371	5.130852	21.347416	0.000000	10.567573	0.000000	0.000000	22.914268	8.717287	29.903841	0.000000	0.000000	0.122130	12.636764	4.049212	0.000000	0.000000	3.384340	7.432229	19.233019	0.000000	0.000000	16.355318	14.462585	0.000000	31.522905	0.554627	0.000000	0.000000	0.000000	0.000000	32.019890	0.000000	0.000000	28.778067	5.218902	0.000000	27.385521	0.000000	0.000000	0.000000	12.037023	0.000000	0.000000	0.000000	0.000000	2.545698	0.000000	0.000000	9.942576	22.762110
1	C	1.614689	0.000000	0.000000	0.000000	0.000000	3.167192	0.000000	4.866650	0.000000	0.000000	11.954354	0.000000	0.000000	0.000000	0.000000	10.433876	0.000000	3.059013	0.000000	0.000000	11.973344	1.173598	13.915171	0.000000	0.000000	2.609175	4.411222	0.000000	0.000000	0.000000	0.351958	4.981465	12.618354	0.000000	0.000000	8.763605	11.054782	1.040991	12.220480	7.055804	0.000000	0.000000	0.000000	0.000000	13.816838	0.000000	1.030944	17.827112	0.000000	0.397904	11.076236	0.000000	0.000000	0.000000	0.000000	6.232839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.352211
2	C	0.000000	0.000000	0.000000	0.000000	0.000000	2.872756	0.000000	2.591006	0.000000	0.000000	7.488817	0.000000	0.000000	0.000000	0.000000	3.721329	0.000000	0.000000	0.000000	0.000000	5.833367	1.162265	5.629453	0.000000	0.000000	0.000000	1.860390	0.000000	0.000000	0.000000	0.000000	1.997709	5.328612	0.000000	0.000000	6.064248	5.578569	0.000000	4.587567	5.452286	0.000000	0.000000	0.000000	0.000000	5.074413	0.000000	0.000000	9.337136	0.000000	0.023911	3.033647	0.000000	0.000000	0.000000	0.000000	2.625816	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.520185
3	O	0.000000	0.000000	0.000000	0.000000	0.000000	3.534117	0.000000	0.000000	0.000000	0.000000	0.207045	0.000000	0.000000	0.000000	2.552354	0.000000	0.000000	0.000000	1.043840	0.000000	1.275422	2.500579	0.792442	0.000000	0.000000	0.000000	0.570155	1.926035	0.000000	0.000000	0.745645	0.000000	1.254897	0.000000	0.000000	1.859754	0.344796	0.000000	3.078490	0.000000	0.000000	0.000000	0.000000	0.000000	2.781482	0.000000	0.000000	2.069432	0.768184	0.000000	2.245928	0.000000	0.000000	0.000000	1.464174	0.000000	0.000000	0.010940	0.000000	0.000000	0.000000	0.000000	0.114881	0.965315
4	H	5.943720	4.385478	0.000000	0.000000	0.000000	4.470535	2.539196	0.150713	0.000000	0.000000	8.862500	0.000000	0.000000	3.194515	2.693068	9.719501	0.000000	6.958899	0.000000	0.000000	7.691492	5.633124	13.878817	3.352507	0.000000	6.419053	3.351900	6.235078	0.000000	2.847489	4.515343	10.171267	10.781009	0.000000	0.000000	7.500938	6.096330	3.209844	13.934505	0.000000	1.919536	0.000000	0.000000	0.000000	15.737322	0.000000	2.471884	13.704921	0.000000	0.000000	18.760466	0.000000	0.000000	0.000000	11.844533	5.056906	0.000000	0.000000	4.923377	1.187136	5.236770	0.000000	0.000000	9.960331
5	H	5.886367	4.226854	0.000000	0.000000	0.000000	4.235620	2.306229	0.231057	0.000000	0.000000	8.912580	0.000000	0.000000	2.928079	2.485323	9.414292	0.000000	6.718310	0.000000	0.000000	7.480919	5.382210	13.466672	3.224188	0.000000	6.283440	3.181822	5.976659	0.000000	2.689589	4.348666	9.893836	10.587939	0.000000	0.000000	7.312755	6.056862	3.233661	13.386155	0.042818	1.890825	0.000000	0.000000	0.000000	15.159113	0.000000	2.481832	13.344652	0.000000	0.000000	18.088787	0.000000	0.000000	0.000000	11.382084	5.117546	0.000000	0.000000	4.719495	1.029203	5.095788	0.000000	0.000000	9.677315
6	H	5.809659	3.924503	0.000000	0.000000	0.000000	3.792739	1.835018	0.387276	0.000000	0.391104	9.073392	0.000000	0.000000	2.395957	2.085069	8.847123	0.000000	6.270267	0.000000	0.000000	7.104892	4.915365	12.705745	2.983116	0.000000	6.045567	2.855719	5.479381	0.000000	2.382627	4.040861	9.399340	10.262630	0.080198	0.000000	6.988583	6.012863	3.293579	12.351671	0.433203	1.850885	0.000000	0.000000	0.000000	14.080153	0.000000	2.515381	12.695169	0.000000	0.000000	16.833397	0.000000	0.000000	0.000000	10.515563	5.273821	0.000000	0.000000	4.346585	0.712967	4.837699	0.000000	0.000000	9.157064
7	H	2.608716	1.607562	0.000000	0.000000	0.000000	0.569539	0.000000	0.875458	0.000000	1.645230	5.723340	0.000000	0.000000	0.000000	0.252532	3.318256	0.000000	2.464338	0.000000	0.000000	3.519013	1.352743	5.039756	0.973375	0.000000	2.973188	0.507453	2.302060	0.000000	0.000000	1.896342	3.521424	5.923391	1.068605	0.000000	2.573492	3.905328	2.145238	4.568819	1.619190	0.217173	0.000000	0.000000	0.000000	5.423671	0.000000	2.044019	5.899401	0.000000	0.072844	6.304753	0.000000	0.000000	0.000000	2.968874	3.403965	0.000000	0.000000	1.231635	0.000000	1.875122	0.000000	0.000000	4.138230
8	H	2.528818	1.568471	0.000000	0.000000	0.000000	0.526043	0.000000	0.854394	0.000000	1.659869	5.554453	0.000000	0.000000	0.000000	0.241749	3.169003	0.000000	2.379232	0.000000	0.000000	3.396833	1.292890	4.832448	0.924590	0.000000	2.908043	0.440505	2.234243	0.000000	0.000000	1.859285	3.391818	5.761384	1.049315	0.000000	2.437743	3.797750	2.099499	4.388199	1.592591	0.158942	0.000000	0.000000	0.000000	5.199036	0.000000	2.021635	5.705689	0.000000	0.095048	6.068675	0.000000	0.000000	0.000000	2.794650	3.318313	0.000000	0.000000	1.163752	0.000000	1.823745	0.000000	0.000000	3.996863
9	H	0.550313	0.891153	0.000000	0.000000	0.000000	0.344977	0.000000	0.568238	0.000000	0.880641	2.258843	0.000000	0.000000	0.102293	0.000000	1.508053	0.000000	1.106223	0.000000	0.000000	1.711011	0.000000	2.181645	0.504459	0.000000	1.072827	0.460635	0.939813	0.827857	0.000000	0.463564	0.964982	2.196735	0.000000	0.000000	0.718737	1.847128	0.889479	1.647660	1.430695	0.000000	0.000000	0.353490	0.000000	1.890124	0.000000	0.494876	2.397610	0.000000	0.003649	1.978135	0.000000	0.000000	0.000000	0.023007	1.206533	0.000000	0.000000	0.131712	0.000000	0.266111	0.000000	0.000000	1.618737
