node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	13.316881	0.115278	0.000000	0.000000	0.000000	0.660665	0.000000	0.000000	0.000000	3.481965	18.098270	0.000000	9.255293	0.000000	0.000000	20.700483	5.800377	25.543795	0.000000	0.000000	0.000000	11.400995	2.503791	0.000000	0.000000	2.291991	3.560942	16.508608	0.000000	0.000000	13.034477	12.842640	0.000000	26.388136	1.018076	0.000000	0.000000	0.000000	0.000000	26.523840	0.000000	0.000000	23.768005	6.661571	0.000000	20.486328	0.000000	0.000000	0.000000	7.896350	0.000000	0.000000	0.000000	0.000000	1.479135	0.000000	0.000000	9.650582	19.816061
1	C	0.752408	0.000000	0.000000	0.000000	0.000000	2.380114	0.000000	4.353675	0.000000	0.000000	10.059609	0.000000	0.000000	0.000000	0.000000	7.760075	0.000000	1.470215	0.000000	0.000000	9.284898	0.000000	9.856914	0.000000	0.000000	2.014946	3.120263	0.000000	0.000000	0.000000	0.000000	3.015111	8.856047	0.000000	0.000000	6.407197	8.717139	0.644809	7.990637	7.160946	0.000000	0.000000	0.000000	0.000000	9.112403	0.000000	0.468243	13.520698	0.000000	0.481913	6.616032	0.000000	0.000000	0.000000	0.000000	5.162863	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.003537
2	O	0.654499	0.295919	0.000000	0.000000	0.000000	0.561974	0.000000	1.612389	0.000000	0.899960	4.495234	0.000000	0.000000	0.000000	0.000000	3.019672	0.000000	1.238973	0.000000	0.000000	3.624460	0.000000	3.907234	0.000000	0.000000	1.421324	1.077071	0.063396	0.999375	0.000000	0.000000	1.147063	3.695658	0.000000	0.000000	1.871380	3.675210	0.773675	2.640587	3.274266	0.000000	0.000000	0.000000	0.000000	2.993361	0.000000	0.399804	4.684178	0.000000	0.109198	2.293357	0.000000	0.000000	0.000000	0.000000	2.290366	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.039238
3	O	0.000000	0.000000	0.000000	0.000000	0.000000	1.121437	0.000000	0.379791	0.000000	0.000000	1.462678	0.000000	0.000000	0.000000	0.000000	1.128774	0.000000	1.411223	0.417579	0.000000	2.570626	0.000000	2.535139	0.000000	0.000000	0.000000	1.320218	0.273605	0.000000	0.000000	0.000000	0.000000	1.320546	0.000000	0.000000	0.518179	2.077080	0.000000	1.202029	1.717273	0.000000	0.000000	0.000000	0.000000	0.773115	0.000000	0.000000	0.988229	1.559161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.406472	0.000000	0.000000	0.000000	0.000000	0.440755	1.726001
4	H	5.346858	3.844225	0.000000	0.000000	0.000000	3.412791	1.641582	0.506199	0.000000	0.218602	8.431455	0.000000	0.000000	2.328777	1.855362	8.409203	0.000000	6.187611	0.000000	0.000000	6.862585	4.412765	12.116744	2.840634	0.000000	5.787486	2.745708	5.455185	0.000000	2.250267	3.966427	8.654843	9.915844	0.163707	0.000000	6.313739	5.800837	3.106303	11.815733	0.463900	1.635548	0.000000	0.000000	0.000000	13.434374	0.000000	2.469815	11.902706	0.000000	0.000000	15.914016	0.000000	0.000000	0.000000	10.075611	4.852425	0.000000	0.000000	4.137659	0.618309	4.525632	0.000000	0.000000	8.813319
5	H	5.283714	3.701938	0.000000	0.000000	0.000000	3.182668	1.413544	0.571334	0.000000	0.433953	8.479422	0.000000	0.000000	2.069498	1.661478	8.115532	0.000000	5.949956	0.000000	0.000000	6.660423	4.172372	11.718901	2.726418	0.000000	5.658766	2.583506	5.202558	0.000000	2.099787	3.803902	8.390228	9.725639	0.329178	0.000000	6.133327	5.762372	3.130528	11.279234	0.635060	1.618293	0.000000	0.000000	0.000000	12.882290	0.000000	2.483842	11.553919	0.000000	0.000000	15.274673	0.000000	0.000000	0.000000	9.625247	4.918163	0.000000	0.000000	3.939738	0.476494	4.389991	0.000000	0.000000	8.538154
6	H	5.179213	3.409020	0.000000	0.000000	0.000000	2.747410	0.952082	0.714122	0.000000	0.823761	8.609990	0.000000	0.000000	1.571953	1.262066	7.610941	0.000000	5.567073	0.000000	0.000000	6.354940	3.691742	11.058476	2.499749	0.000000	5.427051	2.317374	4.713849	0.000000	1.806540	3.503191	7.898896	9.432974	0.632072	0.000000	5.815433	5.750069	3.168785	10.293006	0.973080	1.594251	0.000000	0.000000	0.000000	11.881737	0.000000	2.504838	10.920891	0.000000	0.000000	14.082908	0.000000	0.000000	0.000000	8.792269	5.078664	0.000000	0.000000	3.575018	0.215826	4.137423	0.000000	0.000000	8.081512
7	H	1.454124	1.235376	0.000000	0.000000	0.000000	0.447377	0.000000	0.675326	0.000000	1.307017	3.814609	0.000000	0.000000	0.000000	0.000000	2.158935	0.000000	1.552059	0.000000	0.000000	2.442852	0.490562	3.199951	0.662750	0.000000	1.976439	0.326606	1.521015	0.645353	0.000000	1.139606	2.076503	3.827955	0.285577	0.000000	1.511344	2.726791	1.436697	2.866709	1.531182	0.000000	0.000000	0.000000	0.000000	3.335279	0.000000	1.290055	3.944978	0.000000	0.077956	3.800321	0.000000	0.000000	0.000000	1.149790	2.192053	0.000000	0.000000	0.545101	0.000000	0.958008	0.000000	0.000000	2.615870
8	H	1.411019	1.212533	0.000000	0.000000	0.000000	0.448756	0.000000	0.657175	0.000000	1.303751	3.747882	0.000000	0.000000	0.000000	0.000000	2.096066	0.000000	1.499732	0.000000	0.000000	2.384570	0.480465	3.110742	0.643959	0.000000	1.937684	0.303764	1.479414	0.666345	0.000000	1.105701	2.034447	3.741986	0.255852	0.000000	1.482662	2.675214	1.409812	2.794759	1.518756	0.000000	0.000000	0.000000	0.000000	3.242584	0.000000	1.274681	3.866827	0.000000	0.085921	3.709183	0.000000	0.000000	0.000000	1.079174	2.155264	0.000000	0.000000	0.517910	0.000000	0.927968	0.000000	0.000000	2.543982
9	H	0.000000	0.069848	0.000000	0.000000	0.000000	0.593049	0.000000	0.036101	0.000000	0.871202	0.909823	0.000000	0.000000	0.000000	0.000000	0.210873	0.000000	0.806045	0.314316	0.000000	0.887470	0.000000	1.023621	0.000000	0.000000	0.061466	0.502450	0.805574	0.762624	0.000000	0.000000	0.000000	0.592437	0.000000	0.000000	0.020901	0.940420	0.489868	0.352319	0.599524	0.000000	0.000000	0.462553	0.000000	0.295039	0.000000	0.000000	0.166756	0.619391	0.000000	0.079920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.244874	0.000000	0.000000	0.000000	0.000000	0.000000	0.629775
