node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	20.177385	4.525218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.914161	13.108352	0.000000	0.000000	0.000000	0.000000	15.992743	16.272926	18.914434	0.000000	0.000000	0.000000	8.766452	3.535821	0.000000	0.000000	2.251275	5.711120	11.737782	0.000000	0.000000	17.079531	7.616646	0.000000	28.566156	0.000000	0.000000	0.000000	0.000000	0.000000	27.333626	0.000000	0.000000	26.047026	6.293239	0.000000	24.412100	0.000000	0.000000	0.000000	9.327461	0.000000	0.000000	0.000000	0.000000	2.624518	0.000000	0.000000	8.796103	14.641443
1	C	0.000000	0.000000	0.000000	0.000000	0.000000	10.296042	0.000000	0.000000	0.000000	0.000000	3.945219	0.000000	0.000000	0.000000	7.352489	7.659786	0.000000	0.000000	0.000000	0.000000	9.675790	10.267239	10.662253	0.000000	0.000000	0.000000	3.892085	0.000000	0.000000	0.000000	1.103858	5.884028	9.407368	0.000000	0.000000	12.706227	6.800151	0.000000	16.693756	1.472654	0.000000	0.000000	0.000000	0.000000	17.138262	0.000000	0.093601	19.867908	0.000000	0.000000	15.474066	0.000000	0.000000	0.000000	1.787269	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.636588
2	C	0.000000	0.000000	0.000000	0.000000	0.000000	2.260745	0.000000	3.811700	0.000000	0.000000	8.199005	0.000000	0.000000	0.000000	0.000000	6.467193	0.000000	1.123573	0.000000	0.000000	8.287919	0.000000	8.238515	0.000000	0.000000	1.210044	2.875936	0.000000	0.000000	0.000000	0.000000	1.799837	7.187464	0.000000	0.000000	5.204632	7.449171	0.000000	6.627040	6.564762	0.000000	0.000000	0.000000	0.000000	7.274685	0.000000	0.000000	11.215707	0.000000	0.192629	4.710337	0.000000	0.000000	0.000000	0.000000	3.783475	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.720341
3	O	0.408419	0.046881	0.000000	0.000000	0.000000	0.665587	0.000000	1.672939	0.000000	0.371824	4.106074	0.000000	0.000000	0.000000	0.000000	2.871811	0.000000	1.171788	0.000000	0.000000	3.507504	0.000000	3.927598	0.000000	0.000000	1.065394	1.133980	0.000000	0.267552	0.000000	0.000000	1.025289	3.358548	0.000000	0.000000	1.841739	3.427026	0.593501	2.744430	3.083088	0.000000	0.000000	0.000000	0.000000	3.032748	0.000000	0.151305	4.584922	0.000000	0.070023	2.270495	0.000000	0.000000	0.000000	0.000000	2.042440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.012996
4	H	3.688308	3.875403	0.000000	0.000000	0.000000	5.614824	3.352552	0.000000	0.000000	0.000000	5.096489	0.000000	0.000000	4.209058	2.921796	10.052605	0.000000	7.898160	0.000000	0.293383	8.665524	5.116224	14.463784	2.224228	0.000000	4.888327	4.637393	6.633824	0.000000	2.723244	4.183589	8.075287	9.874762	0.000000	0.000000	6.714013	5.604754	1.621010	15.002890	0.000000	0.739268	0.000000	0.000000	0.000000	16.151979	0.000000	1.189645	12.615026	0.000000	0.000000	18.065910	0.000000	0.000000	0.000000	12.085349	2.043928	0.000000	0.000000	4.132086	2.037471	3.883644	0.000000	2.559175	10.452497
5	H	3.655584	3.743450	0.000000	0.000000	0.000000	5.341699	3.144584	0.000000	0.000000	0.000000	5.112667	0.000000	0.000000	3.969643	2.704255	9.804975	0.000000	7.654214	0.000000	0.195249	8.451075	4.839889	14.070219	2.178762	0.000000	4.794876	4.482182	6.357194	0.000000	2.599928	4.044991	7.863102	9.647105	0.000000	0.000000	6.489624	5.552094	1.642554	14.467817	0.000000	0.753984	0.000000	0.000000	0.000000	15.609766	0.000000	1.208237	12.271288	0.000000	0.000000	17.440266	0.000000	0.000000	0.000000	11.574956	2.157349	0.000000	0.000000	4.021193	1.906663	3.781113	0.000000	2.377173	10.182008
6	H	3.123762	2.161259	0.000000	0.000000	0.000000	0.863431	0.000000	1.167380	0.000000	1.044503	6.226743	0.000000	0.000000	0.402403	0.000000	4.845040	0.000000	4.014297	0.000000	0.000000	4.619356	1.113043	7.153678	1.398495	0.000000	3.545440	1.362369	3.045245	0.000000	0.440795	2.202256	4.231688	6.895804	0.893084	0.000000	2.981373	4.520170	2.427978	5.932333	1.573070	0.592851	0.000000	0.000000	0.000000	7.023166	0.000000	1.864501	6.743146	0.000000	0.000000	7.836709	0.000000	0.000000	0.000000	4.597654	3.747551	0.000000	0.000000	1.797899	0.000000	2.367296	0.000000	0.000000	5.545294
7	H	1.136757	1.105283	0.000000	0.000000	0.000000	0.436564	0.000000	0.619078	0.000000	1.166892	3.282562	0.000000	0.000000	0.000000	0.000000	1.884569	0.000000	1.333329	0.000000	0.000000	2.158691	0.271069	2.776017	0.599397	0.000000	1.670256	0.324770	1.313149	0.704527	0.000000	0.915443	1.711954	3.253833	0.051610	0.000000	1.260232	2.402594	1.246842	2.446184	1.483975	0.000000	0.000000	0.000000	0.000000	2.827509	0.000000	1.050498	3.434474	0.000000	0.065723	3.187542	0.000000	0.000000	0.000000	0.741000	1.856739	0.000000	0.000000	0.395096	0.000000	0.720077	0.000000	0.000000	2.231843
8	H	1.098326	1.086915	0.000000	0.000000	0.000000	0.437858	0.000000	0.602530	0.000000	1.164310	3.220530	0.000000	0.000000	0.000000	0.000000	1.829879	0.000000	1.291954	0.000000	0.000000	2.106568	0.261496	2.700776	0.584860	0.000000	1.636540	0.305868	1.279366	0.722414	0.000000	0.887785	1.675456	3.178591	0.027283	0.000000	1.233707	2.355621	1.224597	2.386149	1.470483	0.000000	0.000000	0.000000	0.000000	2.748938	0.000000	1.037043	3.364640	0.000000	0.072347	3.111037	0.000000	0.000000	0.000000	0.685479	1.821996	0.000000	0.000000	0.372495	0.000000	0.695537	0.000000	0.000000	2.169818
9	H	0.000000	0.495148	0.000000	0.000000	0.000000	0.550135	0.000000	0.355934	0.000000	0.648294	1.274869	0.000000	0.000000	0.222054	0.000000	1.074432	0.000000	1.250401	0.000000	0.000000	1.455882	0.000000	1.980924	0.175227	0.000000	0.493306	0.727482	0.993244	0.596064	0.000000	0.246511	0.183214	1.394622	0.000000	0.000000	0.307707	1.409549	0.731451	1.257589	0.960827	0.000000	0.000000	0.637188	0.000000	1.373972	0.000000	0.027920	1.328802	0.467367	0.000000	1.166298	0.000000	0.000000	0.000000	0.134400	0.188259	0.000000	0.168051	0.000000	0.000000	0.000000	0.000000	0.021172	1.329798
