node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	18.963472	3.801880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.808804	6.670596	22.377895	0.000000	11.937622	0.000000	0.000000	24.623669	9.677033	31.714045	0.000000	0.000000	0.000000	14.681413	4.308872	0.000000	0.000000	3.636472	4.744771	18.736637	0.000000	0.000000	16.787102	13.720221	0.000000	34.439514	0.000000	0.000000	0.000000	0.000000	0.000000	34.175690	0.000000	0.000000	28.467705	9.860525	0.000000	27.632778	0.000000	0.000000	0.000000	13.882483	0.000000	0.000000	0.000000	0.000000	4.062475	0.000000	0.000000	14.746759	24.156067
1	C	1.444862	0.000000	0.000000	6.656933	0.067409	13.219669	0.944496	0.000000	0.000000	0.000000	9.216616	0.000000	0.000000	0.000000	13.095787	2.802917	0.000000	0.000000	0.000000	0.000000	3.660543	18.937140	4.395841	0.000000	0.000000	0.000000	0.000000	0.512431	0.000000	0.000000	0.053054	12.272820	5.688313	0.000000	0.000000	17.545181	2.690092	0.000000	15.705317	0.562087	0.000000	0.000000	0.000000	0.000000	15.633796	0.000000	1.982596	22.492603	0.000000	0.000000	19.692646	0.682186	0.000000	0.000000	3.286104	0.599226	0.000000	0.000000	1.655055	0.000000	0.000000	0.000000	0.000000	3.268949
2	C	0.000000	0.000000	0.000000	5.546555	4.096457	9.770146	0.000000	0.000000	0.000000	0.000000	4.018621	0.000000	0.000000	0.000000	10.080601	0.000000	0.000000	0.000000	0.000000	0.000000	1.188058	13.616259	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.129848	1.913044	0.000000	0.000000	11.538424	0.140445	0.000000	8.725336	0.249859	0.000000	0.000000	0.000000	0.000000	7.954854	0.000000	0.751122	13.339110	0.000000	0.000000	9.579473	2.875760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148725
3	C	0.000000	0.000000	0.000000	0.000000	0.000000	2.471704	0.000000	2.090782	0.000000	0.000000	4.195626	0.000000	0.000000	0.000000	0.000000	4.479584	0.000000	1.766968	0.000000	0.000000	7.142478	0.000000	6.708458	0.000000	0.000000	0.000000	3.052971	0.000000	0.000000	0.000000	0.000000	0.000000	4.936176	0.000000	0.000000	3.388255	5.600088	0.000000	5.125271	4.603992	0.000000	0.000000	0.000000	0.000000	4.688815	0.000000	0.000000	6.769455	1.808936	0.000000	1.875570	0.000000	0.000000	0.000000	0.000000	0.225919	0.000000	0.078642	0.000000	0.000000	0.000000	0.000000	0.650498	5.280656
4	H	6.024604	4.789521	0.000000	0.000000	0.000000	5.339440	3.376585	0.000000	0.000000	0.000000	8.529545	0.000000	0.000000	4.111242	3.304225	10.868853	0.000000	7.797657	0.000000	0.000000	8.479209	6.321746	15.370321	3.697060	0.000000	6.685541	4.077579	6.840255	0.000000	3.307822	4.850680	11.021016	11.206579	0.000000	0.000000	8.168537	6.221242	3.040570	15.666711	0.000000	2.020703	0.000000	0.000000	0.000000	17.558466	0.000000	2.204151	14.856025	0.000000	0.000000	20.801872	0.000000	0.000000	0.000000	13.150682	4.856213	0.000000	0.000000	5.457905	1.874580	5.610473	0.000000	0.277383	10.951942
5	H	5.965503	4.629056	0.000000	0.000000	0.000000	5.100659	3.146363	0.000000	0.000000	0.000000	8.575779	0.000000	0.000000	3.848192	3.093116	10.563299	0.000000	7.558450	0.000000	0.000000	8.266406	6.066014	14.960399	3.568338	0.000000	6.548612	3.909360	6.579126	0.000000	3.151873	4.681314	10.739883	11.009960	0.000000	0.000000	7.976485	6.180116	3.065107	15.111836	0.000000	1.993486	0.000000	0.000000	0.000000	16.974737	0.000000	2.212630	14.488358	0.000000	0.000000	20.124710	0.000000	0.000000	0.000000	12.686198	4.917689	0.000000	0.000000	5.250343	1.720889	5.470734	0.000000	0.078789	10.668491
6	H	5.894823	4.330014	0.000000	0.000000	0.000000	4.651485	2.672802	0.103085	0.000000	0.000000	8.744536	0.000000	0.000000	3.309819	2.690386	9.982062	0.000000	7.097475	0.000000	0.000000	7.872878	5.598501	14.176853	3.327591	0.000000	6.311728	3.568727	6.081554	0.000000	2.843091	4.371830	10.243759	10.676601	0.000000	0.000000	7.646661	6.128412	3.134079	14.061288	0.000000	1.952262	0.000000	0.000000	0.000000	15.875610	0.000000	2.251201	13.830935	0.000000	0.000000	18.853994	0.000000	0.000000	0.000000	11.812066	5.076597	0.000000	0.000000	4.874465	1.393630	5.213594	0.000000	0.000000	10.133541
7	H	0.776834	0.959534	0.000000	0.000000	0.000000	0.425819	0.000000	0.577594	0.000000	1.002453	2.712257	0.000000	0.000000	0.000000	0.000000	1.597445	0.000000	1.053666	0.000000	0.000000	1.862410	0.001439	2.291969	0.507324	0.000000	1.324684	0.328770	1.062226	0.796441	0.000000	0.647060	1.291899	2.605276	0.000000	0.000000	0.984297	2.046039	1.007351	1.977452	1.469247	0.000000	0.000000	0.146565	0.000000	2.263190	0.000000	0.764321	2.883597	0.000000	0.049651	2.475044	0.000000	0.000000	0.000000	0.224292	1.466999	0.000000	0.000000	0.228221	0.000000	0.425074	0.000000	0.000000	1.804067
8	H	0.751343	0.954292	0.000000	0.000000	0.000000	0.420005	0.000000	0.562028	0.000000	1.004783	2.655216	0.000000	0.000000	0.000000	0.000000	1.555066	0.000000	1.030328	0.000000	0.000000	1.816215	0.000000	2.235742	0.498915	0.000000	1.299667	0.315132	1.040042	0.813254	0.000000	0.627321	1.263546	2.542510	0.000000	0.000000	0.952666	2.004486	0.991024	1.925093	1.450541	0.000000	0.000000	0.162572	0.000000	2.195459	0.000000	0.753510	2.809860	0.000000	0.054525	2.412104	0.000000	0.000000	0.000000	0.194289	1.439062	0.000000	0.000000	0.219083	0.000000	0.411866	0.000000	0.000000	1.755312
9	H	0.725856	0.952356	0.000000	0.000000	0.000000	0.416864	0.000000	0.542973	0.000000	1.004056	2.589799	0.000000	0.000000	0.000000	0.000000	1.505886	0.000000	1.004164	0.000000	0.000000	1.760019	0.000000	2.173556	0.493462	0.000000	1.274442	0.297219	1.022805	0.824357	0.000000	0.612030	1.240495	2.475345	0.000000	0.000000	0.920679	1.954252	0.976848	1.875813	1.420830	0.000000	0.000000	0.182654	0.000000	2.130592	0.000000	0.747319	2.734925	0.000000	0.061862	2.357425	0.000000	0.000000	0.000000	0.178980	1.408855	0.000000	0.000000	0.214779	0.000000	0.403269	0.000000	0.000000	1.703482
