node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	19.100458	4.291407	0.000000	0.000000	0.000000	1.737009	0.000000	0.000000	2.005655	7.353312	24.817085	0.000000	12.769894	0.000000	0.000000	25.776163	11.529932	34.827347	0.000000	0.000000	0.139759	14.882033	5.285976	0.000000	0.163804	4.608842	9.060467	21.290224	0.000000	0.000000	19.447762	15.460283	0.000000	37.423080	0.000000	0.000000	0.000000	0.000000	0.000000	37.878597	0.000000	0.000000	32.657085	6.439105	0.000000	33.218479	0.000000	0.000000	0.000000	16.703848	0.000000	0.000000	0.000000	0.243582	4.438663	0.000000	0.000000	12.901061	26.182577
1	C	5.332963	0.122295	0.000000	0.000000	0.000000	5.452240	0.000000	3.363888	0.000000	0.000000	14.281620	0.000000	0.000000	0.000000	1.706491	13.990048	0.000000	6.345589	0.000000	0.000000	13.577740	5.332467	19.504635	0.001311	0.000000	5.601165	5.569873	2.522441	0.000000	0.000000	2.887342	10.745833	15.997389	0.000000	0.000000	12.012167	12.107133	2.374041	18.288361	4.487543	0.340451	0.000000	0.000000	0.000000	20.548742	0.000000	2.491705	21.870733	0.000000	0.000000	20.809919	0.000000	0.000000	0.000000	7.569778	8.058541	0.000000	0.000000	2.243410	0.000000	3.527327	0.000000	0.000000	14.758981
2	C	0.004037	0.000000	0.000000	0.000000	0.000000	5.304161	0.000000	1.403310	0.000000	0.000000	8.617528	0.000000	0.000000	0.000000	4.045898	4.897799	0.000000	0.000000	0.000000	0.000000	6.506667	6.204301	6.581621	0.000000	0.000000	0.066785	1.531515	0.000000	0.000000	0.000000	0.000000	5.453953	7.491900	0.000000	0.000000	9.662154	5.888447	0.000000	9.821034	4.342463	0.000000	0.000000	0.000000	0.000000	10.601689	0.000000	1.085644	15.108208	0.000000	0.000000	9.834089	0.000000	0.000000	0.000000	0.000000	3.128600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.656240
3	C	0.000000	0.000000	0.000000	0.000000	0.000000	5.075104	0.000000	0.000000	0.000000	0.000000	1.218145	0.000000	0.000000	0.000000	2.846767	1.581677	0.000000	0.000000	0.000000	0.000000	4.454923	3.525688	3.483565	0.000000	0.000000	0.000000	1.720407	0.000000	0.000000	0.000000	0.000000	0.553402	3.382625	0.000000	0.000000	5.701191	2.998976	0.000000	5.355606	1.610551	0.000000	0.000000	0.000000	0.000000	5.042563	0.000000	0.000000	7.243434	1.112933	0.000000	2.697054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.503627	3.075509
4	H	6.381691	4.944501	0.000000	0.000000	0.000000	5.611831	3.534189	0.000000	0.000000	0.000000	9.017710	0.000000	0.000000	4.222592	3.553717	11.212642	0.000000	7.925811	0.000000	0.000000	8.696075	6.785711	15.875775	3.869189	0.000000	6.990647	4.152289	7.040307	0.000000	3.474498	5.051553	11.629748	11.616262	0.000000	0.000000	8.658226	6.398304	3.194344	16.234009	0.000000	2.186037	0.000000	0.000000	0.000000	18.237610	0.000000	2.343505	15.517021	0.000000	0.000000	21.722115	0.000000	0.000000	0.000000	13.689897	5.137400	0.000000	0.000000	5.717335	1.937786	5.906448	0.000000	0.079465	11.270946
5	H	6.331599	4.811446	0.000000	0.000000	0.000000	5.417824	3.349729	0.000000	0.000000	0.000000	9.051876	0.000000	0.000000	4.010845	3.382931	10.964006	0.000000	7.730023	0.000000	0.000000	8.521828	6.578109	15.543940	3.763627	0.000000	6.877851	4.017215	6.825472	0.000000	3.348881	4.912301	11.400221	11.453832	0.000000	0.000000	8.502383	6.363580	3.213159	15.781638	0.000000	2.164565	0.000000	0.000000	0.000000	17.762217	0.000000	2.349225	15.216581	0.000000	0.000000	21.171236	0.000000	0.000000	0.000000	13.310960	5.186717	0.000000	0.000000	5.546449	1.815948	5.793037	0.000000	0.000000	11.039971
6	H	6.277211	4.582313	0.000000	0.000000	0.000000	5.047908	2.971667	0.000000	0.000000	0.000000	9.187312	0.000000	0.000000	3.584313	3.052296	10.495731	0.000000	7.366055	0.000000	0.000000	8.199154	6.193149	14.911707	3.576229	0.000000	6.692107	3.739201	6.433310	0.000000	3.104266	4.664939	10.998214	11.183749	0.000000	0.000000	8.225041	6.318114	3.278383	14.928669	0.000000	2.132440	0.000000	0.000000	0.000000	16.870510	0.000000	2.383333	14.677177	0.000000	0.000000	20.144569	0.000000	0.000000	0.000000	12.612494	5.317414	0.000000	0.000000	5.243572	1.552141	5.591572	0.000000	0.000000	10.608646
7	H	3.892627	2.557327	0.000000	0.000000	0.000000	1.605873	0.018315	1.098811	0.000000	0.835768	7.137594	0.000000	0.000000	0.761320	0.301292	5.997620	0.000000	4.605995	0.000000	0.000000	5.363872	1.986234	8.786920	1.749471	0.000000	4.179216	1.828312	3.573769	0.000000	0.970570	2.576377	5.587306	7.806425	0.668065	0.000000	4.090127	5.093178	2.626130	7.629168	1.441252	1.003872	0.000000	0.000000	0.000000	8.886941	0.000000	2.072531	8.362431	0.000000	0.000000	10.189201	0.000000	0.000000	0.000000	6.168335	4.297724	0.000000	0.000000	2.412680	0.000000	2.976664	0.000000	0.000000	6.583961
8	H	1.642142	1.457398	0.000000	0.000000	0.000000	0.370130	0.000000	0.773802	0.000000	1.219780	3.879159	0.000000	0.000000	0.140820	0.000000	2.589067	0.000000	2.179510	0.000000	0.000000	2.726161	0.341650	3.922760	0.902602	0.000000	2.117208	0.631211	1.889094	0.451893	0.000000	1.360462	2.221929	4.207798	0.521081	0.000000	1.484446	2.905240	1.618576	3.282120	1.445559	0.070421	0.000000	0.000000	0.000000	3.885098	0.000000	1.231065	4.118721	0.000000	0.000000	4.303243	0.000000	0.000000	0.000000	1.883207	2.232952	0.000000	0.000000	0.789164	0.000000	1.175013	0.000000	0.000000	3.089179
9	H	0.531161	0.886168	0.000000	0.000000	0.000000	0.339362	0.000000	0.577978	0.000000	0.838120	2.197104	0.000000	0.000000	0.140119	0.000000	1.528364	0.000000	1.145967	0.000000	0.000000	1.715529	0.000000	2.220183	0.521613	0.000000	1.038629	0.502492	0.952250	0.779817	0.000000	0.461489	0.932181	2.171443	0.000000	0.000000	0.695610	1.829954	0.886324	1.659524	1.415064	0.000000	0.000000	0.391385	0.000000	1.908183	0.000000	0.448959	2.376794	0.000000	0.000000	1.965970	0.000000	0.000000	0.000000	0.061263	1.162463	0.000000	0.000000	0.128624	0.000000	0.257720	0.000000	0.000000	1.634187
