node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	20.825079	5.051295	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.287392	13.954684	0.000000	0.438130	0.000000	0.000000	16.628054	16.897533	20.070778	0.000000	0.000000	0.000000	9.165673	4.071877	0.000000	0.000000	2.535252	6.497771	12.347729	0.000000	0.000000	17.772926	7.958641	0.000000	29.918880	0.000000	0.000000	0.000000	0.000000	0.000000	28.698942	0.000000	0.000000	27.124224	6.250092	0.000000	26.073124	0.000000	0.000000	0.000000	10.523645	0.000000	0.000000	0.000000	0.000000	2.947551	0.000000	0.000000	9.157666	15.432581
1	C	0.000000	0.000000	0.000000	0.000000	0.000000	11.849288	0.114591	0.000000	0.000000	0.000000	3.136437	0.000000	0.000000	0.000000	8.056661	9.000560	0.000000	0.000000	0.000000	0.000000	10.935016	11.383874	12.656648	0.000000	0.000000	0.000000	4.821393	0.438517	0.000000	0.000000	1.403845	6.324146	10.245605	0.000000	0.000000	13.762912	7.285787	0.000000	19.044210	0.770650	0.000000	0.000000	0.000000	0.000000	19.312647	0.000000	0.000000	21.394215	0.000000	0.000000	17.590124	0.000000	0.000000	0.000000	3.432888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.241322	10.056036
2	C	0.000000	0.000000	0.000000	0.000000	0.000000	4.874913	0.000000	1.583942	0.000000	0.000000	8.027855	0.000000	0.000000	0.000000	3.399248	4.445457	0.000000	0.000000	0.000000	0.000000	6.226067	5.259255	5.995941	0.000000	0.000000	0.000000	1.499202	0.000000	0.000000	0.000000	0.000000	4.645252	6.850370	0.000000	0.000000	8.828032	5.610426	0.000000	8.650220	4.442172	0.000000	0.000000	0.000000	0.000000	9.351702	0.000000	0.739915	13.815295	0.000000	0.000000	8.247251	0.000000	0.000000	0.000000	0.000000	2.901323	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.213601
3	C	0.000000	0.000000	0.000000	0.000000	0.000000	4.598155	0.000000	0.000000	0.000000	0.000000	1.455050	0.000000	0.000000	0.000000	2.114409	1.522004	0.000000	0.000000	0.000000	0.000000	4.567906	2.650218	3.676721	0.000000	0.000000	0.000000	1.902276	0.000000	0.000000	0.000000	0.000000	0.062993	3.226880	0.000000	0.000000	5.142952	3.085156	0.000000	4.816792	1.826811	0.000000	0.000000	0.000000	0.000000	4.375243	0.000000	0.000000	6.349426	1.442433	0.000000	2.013515	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.800016	3.107178
4	O	0.374773	0.948066	0.000000	0.000000	0.000000	0.333575	0.000000	0.607784	0.000000	0.837741	1.943983	0.000000	0.000000	0.356251	0.000000	1.655644	0.000000	1.662306	0.000000	0.000000	1.824226	0.000000	2.595004	0.585714	0.000000	0.982229	0.797389	1.228358	0.805905	0.000000	0.512846	0.694137	2.109945	0.000000	0.000000	0.413233	1.830444	0.961093	1.674557	1.324519	0.000000	0.000000	0.644798	0.000000	1.951482	0.000000	0.241105	2.003775	0.048979	0.000000	1.882905	0.000000	0.000000	0.000000	0.387728	0.883750	0.000000	0.000000	0.137879	0.000000	0.152538	0.000000	0.000000	1.787501
5	H	3.695691	4.012196	0.000000	0.000000	0.000000	6.225765	3.738264	0.000000	0.000000	0.000000	5.009854	0.000000	0.000000	4.568411	3.313465	10.506067	0.000000	8.185770	0.000000	0.398570	9.088372	5.662159	15.164629	2.222729	0.000000	4.883963	4.945231	6.964705	0.000000	2.879347	4.286046	8.435719	10.157781	0.000000	0.000000	7.214242	5.712144	1.458514	15.890895	0.000000	0.719287	0.000000	0.000000	0.000000	17.011660	0.000000	1.066737	13.261577	0.000000	0.000000	19.065071	0.000000	0.000000	0.000000	12.798129	1.836298	0.000000	0.000000	4.250977	2.300395	3.973742	0.000000	2.921104	10.908413
6	H	3.649111	3.789684	0.000000	0.000000	0.000000	5.762709	3.432315	0.000000	0.000000	0.000000	5.036705	0.000000	0.000000	4.204557	2.955828	10.156243	0.000000	7.885501	0.000000	0.268342	8.763368	5.194589	14.595452	2.158005	0.000000	4.792030	4.726842	6.530167	0.000000	2.704723	4.103760	8.119834	9.836495	0.000000	0.000000	6.854670	5.643403	1.538429	15.069942	0.000000	0.758447	0.000000	0.000000	0.000000	16.210325	0.000000	1.102484	12.719538	0.000000	0.000000	18.116707	0.000000	0.000000	0.000000	12.039823	2.040578	0.000000	0.000000	4.085827	2.104858	3.846243	0.000000	2.658907	10.513989
7	H	3.565864	2.480901	0.000000	0.000000	0.000000	1.302514	0.000000	1.165451	0.000000	0.802793	6.687300	0.000000	0.000000	0.750249	0.066707	5.636058	0.000000	4.558290	0.000000	0.000000	5.128938	1.529045	8.275090	1.652695	0.000000	3.954219	1.712253	3.465422	0.000000	0.811156	2.456210	5.015070	7.452013	0.748438	0.000000	3.560531	4.849574	2.559824	7.026371	1.462780	0.839422	0.000000	0.000000	0.000000	8.213649	0.000000	1.941767	7.666307	0.000000	0.000000	9.289827	0.000000	0.000000	0.000000	5.679383	4.030748	0.000000	0.000000	2.213539	0.000000	2.756243	0.000000	0.000000	6.266851
8	H	1.467806	1.371868	0.000000	0.000000	0.000000	0.354439	0.000000	0.742903	0.000000	1.157777	3.599072	0.000000	0.000000	0.147487	0.000000	2.419339	0.000000	2.019382	0.000000	0.000000	2.559654	0.228555	3.654253	0.849194	0.000000	1.942093	0.613737	1.754500	0.500149	0.000000	1.221491	2.008439	3.880065	0.391964	0.000000	1.342878	2.727212	1.501199	3.022691	1.436405	0.026544	0.000000	0.073384	0.000000	3.569844	0.000000	1.099023	3.830646	0.000000	0.000000	3.933239	0.000000	0.000000	0.000000	1.600967	2.051681	0.000000	0.000000	0.686818	0.000000	1.033467	0.000000	0.000000	2.858671
9	H	0.425188	0.803007	0.000000	0.000000	0.000000	0.247489	0.000000	0.530161	0.000000	0.830588	1.922574	0.000000	0.000000	0.184375	0.000000	1.360625	0.000000	1.132945	0.000000	0.000000	1.538058	0.000000	2.070702	0.479597	0.000000	0.853574	0.527237	0.778831	0.826409	0.000000	0.309610	0.741702	1.875989	0.000000	0.000000	0.537602	1.686543	0.796360	1.327221	1.328014	0.000000	0.000000	0.444624	0.000000	1.517444	0.000000	0.306607	1.931544	0.000000	0.000000	1.533316	0.000000	0.000000	0.000000	0.000000	1.053572	0.000000	0.000000	0.000000	0.000000	0.175416	0.000000	0.000000	1.454417
