node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	16.084686	2.245974	0.000000	0.000000	0.000000	1.603083	0.000000	0.000000	0.941562	5.170406	21.526112	0.000000	11.026621	0.000000	0.000000	23.236855	8.481236	30.196730	0.000000	0.000000	0.000000	13.110311	4.030807	0.000000	0.000000	3.346616	6.493765	18.947071	0.000000	0.000000	16.147924	14.230991	0.000000	31.795055	0.089156	0.000000	0.000000	0.000000	0.000000	32.106106	0.000000	0.000000	28.270031	6.519247	0.000000	26.893709	0.000000	0.000000	0.000000	12.296674	0.000000	0.000000	0.000000	0.000000	2.849205	0.000000	0.000000	11.190337	23.002546
1	C	0.829120	0.000000	0.000000	0.000000	0.000000	8.636881	0.000000	0.000000	0.000000	0.000000	9.169321	0.000000	0.000000	0.000000	6.694153	8.210076	0.000000	0.000000	0.000000	0.000000	9.259518	10.112016	11.172167	0.000000	0.000000	0.393591	3.222265	0.000000	0.000000	0.000000	1.075385	8.584430	10.452202	0.000000	0.000000	13.576533	7.755582	0.000000	16.252172	3.242619	0.000000	0.000000	0.000000	0.000000	17.296467	0.000000	1.358324	21.422823	0.000000	0.000000	17.175064	0.000000	0.000000	0.000000	2.021757	2.920269	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.860952
2	C	0.000000	0.000000	0.000000	0.000000	0.000000	5.167111	0.000000	0.409078	0.000000	0.000000	3.889887	0.000000	0.000000	0.000000	2.996066	3.352807	0.000000	0.000000	0.000000	0.000000	5.961023	4.154831	4.871087	0.000000	0.000000	0.000000	1.870247	0.000000	0.000000	0.000000	0.000000	2.038538	5.259743	0.000000	0.000000	6.989619	4.533153	0.000000	7.270094	2.999718	0.000000	0.000000	0.000000	0.000000	7.429612	0.000000	0.000000	10.667348	0.000000	0.000000	5.223425	0.000000	0.000000	0.000000	0.000000	0.217109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.434004
3	C	0.000000	0.000000	0.000000	0.000000	0.000000	2.703589	0.000000	0.997671	0.000000	0.000000	3.686266	0.000000	0.000000	0.000000	0.039852	2.084933	0.000000	0.000000	0.000000	0.000000	4.456431	0.764563	3.977034	0.000000	0.000000	0.000000	1.863539	0.000000	0.000000	0.000000	0.000000	0.046881	3.386374	0.000000	0.000000	4.014720	3.713658	0.000000	3.263185	3.173021	0.000000	0.000000	0.000000	0.000000	3.102566	0.000000	0.000000	5.390170	0.806270	0.000000	1.170665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.179077
4	O	0.000000	0.000000	0.000000	0.000000	0.000000	3.825984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.294574	0.000000	0.000000	0.000000	2.128090	0.000000	1.301962	2.119297	0.644637	0.000000	0.000000	0.000000	0.972518	1.876716	0.000000	0.000000	0.521289	0.000000	0.808576	0.000000	0.000000	1.569008	0.234250	0.000000	2.616575	0.000000	0.000000	0.000000	0.000000	0.000000	2.126448	0.000000	0.000000	1.035244	1.599943	0.000000	1.172729	0.153559	0.000000	0.000000	1.304285	0.000000	0.000000	0.363450	0.000000	0.000000	0.000000	0.000000	0.800601	0.780267
5	H	5.917663	4.575054	0.000000	0.000000	0.000000	4.855566	2.946637	0.018097	0.000000	0.000000	8.589181	0.000000	0.000000	3.657438	2.949832	10.239228	0.000000	7.370701	0.000000	0.000000	8.038677	5.882053	14.538027	3.507132	0.000000	6.496595	3.704469	6.502419	0.000000	3.053510	4.642682	10.488270	10.904251	0.000000	0.000000	7.734098	6.115740	3.114252	14.682726	0.000000	1.942986	0.000000	0.000000	0.000000	16.515127	0.000000	2.308622	14.148261	0.000000	0.000000	19.610870	0.000000	0.000000	0.000000	12.401330	4.914241	0.000000	0.000000	5.138582	1.532173	5.381484	0.000000	0.000000	10.399454
6	H	5.844333	4.341458	0.000000	0.000000	0.000000	4.504312	2.593822	0.137924	0.000000	0.000000	8.684837	0.000000	0.000000	3.253135	2.639259	9.782924	0.000000	7.008849	0.000000	0.000000	7.722680	5.512515	13.921840	3.318443	0.000000	6.301373	3.444373	6.116435	0.000000	2.817689	4.396133	10.085312	10.623537	0.000000	0.000000	7.461189	6.060740	3.158760	13.861539	0.000000	1.905115	0.000000	0.000000	0.000000	15.651903	0.000000	2.329881	13.618258	0.000000	0.000000	18.613028	0.000000	0.000000	0.000000	11.714633	5.017615	0.000000	0.000000	4.837746	1.290007	5.176581	0.000000	0.000000	9.976452
7	H	5.748717	3.993621	0.000000	0.000000	0.000000	4.027366	2.073862	0.318181	0.000000	0.043705	8.844329	0.000000	0.000000	2.674909	2.193401	9.183658	0.000000	6.545593	0.000000	0.000000	7.345926	4.990331	13.123483	3.043391	0.000000	6.032279	3.112284	5.569925	0.000000	2.476114	4.059217	9.533092	10.283102	0.000000	0.000000	7.108314	6.030064	3.202486	12.753597	0.202232	1.852980	0.000000	0.000000	0.000000	14.493292	0.000000	2.352165	12.913395	0.000000	0.000000	17.242424	0.000000	0.000000	0.000000	10.768950	5.177145	0.000000	0.000000	4.431591	0.953299	4.884076	0.000000	0.000000	9.432935
8	H	2.935852	2.212566	0.000000	0.000000	0.000000	0.705090	0.000000	1.164958	0.000000	1.026874	5.862375	0.000000	0.000000	0.496919	0.000000	4.623367	0.000000	4.012362	0.000000	0.000000	4.420324	0.867317	6.822422	1.399207	0.000000	3.446808	1.289227	3.077073	0.000000	0.411367	2.183779	3.911093	6.636449	0.970167	0.000000	2.622343	4.299919	2.401452	5.611946	1.519008	0.512209	0.000000	0.000000	0.000000	6.652012	0.000000	1.800507	6.295053	0.000000	0.000000	7.373889	0.000000	0.000000	0.000000	4.424256	3.522472	0.000000	0.000000	1.737086	0.000000	2.273069	0.000000	0.000000	5.329361
9	H	1.189243	1.248034	0.000000	0.000000	0.000000	0.343102	0.000000	0.675096	0.000000	1.069184	3.145714	0.000000	0.000000	0.178344	0.000000	2.132386	0.000000	1.777718	0.000000	0.000000	2.278524	0.056420	3.213110	0.768943	0.000000	1.677935	0.569463	1.537642	0.588969	0.000000	1.007902	1.690942	3.354059	0.187020	0.000000	1.122265	2.434199	1.326046	2.602963	1.396750	0.000000	0.000000	0.189709	0.000000	3.056238	0.000000	0.915416	3.348722	0.000000	0.000000	3.353193	0.000000	0.000000	0.000000	1.183447	1.779725	0.000000	0.000000	0.541529	0.000000	0.820944	0.000000	0.000000	2.476763
