node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	16.187403	2.182258	0.000000	0.000000	0.000000	0.957353	0.000000	0.000000	0.868119	5.202220	21.311554	0.000000	10.889577	0.000000	0.000000	23.201559	8.407437	29.922256	0.000000	0.000000	0.000000	13.143966	3.888086	0.000000	0.000000	3.259219	6.022695	18.692984	0.000000	0.000000	15.971323	14.076445	0.000000	31.628265	0.000000	0.000000	0.000000	0.000000	0.000000	31.835173	0.000000	0.000000	27.942141	6.939853	0.000000	26.369478	0.000000	0.000000	0.000000	11.954453	0.000000	0.000000	0.000000	0.000000	2.843698	0.000000	0.000000	11.450499	22.835630
1	C	0.984347	0.000000	0.000000	0.000000	0.000000	5.163921	0.000000	3.038513	0.000000	0.000000	11.850219	0.000000	0.000000	0.000000	2.912540	8.247373	0.000000	0.000000	0.000000	0.000000	10.146359	5.408180	11.675969	0.000000	0.000000	1.165724	3.159547	0.000000	0.000000	0.000000	0.191640	6.321461	11.572179	0.000000	0.000000	11.077885	9.062037	0.000000	13.156903	5.892907	0.000000	0.000000	0.000000	0.000000	14.417334	0.000000	1.060560	18.927277	0.000000	0.000000	12.749105	0.000000	0.000000	0.000000	0.000000	4.445639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.706901
2	O	0.000000	0.038490	0.000000	0.000000	0.000000	3.702512	0.000000	0.000000	0.000000	0.000000	0.970992	0.000000	0.000000	0.000000	3.429498	1.148622	0.000000	0.468974	0.000000	0.000000	2.819326	3.555386	2.794012	0.000000	0.000000	0.325913	0.778657	3.267287	0.000000	0.000000	2.055122	1.447930	3.667274	0.000000	0.000000	2.732399	1.223684	0.000000	6.231968	0.000000	0.000000	0.000000	0.000000	0.000000	6.373543	0.000000	0.756823	5.374974	0.000000	0.000000	6.078583	0.000000	0.000000	0.000000	3.392299	0.000000	0.000000	0.000000	0.641744	0.000000	0.000000	0.000000	0.000000	2.865548
3	C	0.000000	0.000000	0.000000	0.000000	0.000000	2.177418	0.000000	3.405274	0.000000	0.000000	7.317816	0.000000	0.000000	0.000000	0.000000	5.889891	0.000000	1.263452	0.000000	0.000000	7.872184	0.000000	7.718176	0.000000	0.000000	0.858257	2.825588	0.000000	0.000000	0.000000	0.000000	1.185684	6.566772	0.000000	0.000000	4.675682	6.937628	0.000000	6.074057	6.098797	0.000000	0.000000	0.000000	0.000000	6.446304	0.000000	0.000000	9.993828	0.000000	0.000000	3.894018	0.000000	0.000000	0.000000	0.000000	3.025445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.273891
4	H	5.824298	4.479966	0.000000	0.000000	0.000000	4.633360	2.759043	0.103509	0.000000	0.000000	8.544498	0.000000	0.000000	3.476948	2.773579	9.972009	0.000000	7.217625	0.000000	0.000000	7.865692	5.641900	14.177693	3.411665	0.000000	6.389185	3.563383	6.368284	0.000000	2.933740	4.545632	10.195791	10.755166	0.000000	0.000000	7.494795	6.064700	3.114881	14.262638	0.000000	1.880060	0.000000	0.000000	0.000000	16.053301	0.000000	2.328207	13.800097	0.000000	0.000000	19.050577	0.000000	0.000000	0.000000	12.060800	4.885997	0.000000	0.000000	4.989532	1.390099	5.251043	0.000000	0.000000	10.169079
5	H	5.766944	4.321342	0.000000	0.000000	0.000000	4.398444	2.526077	0.183852	0.000000	0.000000	8.594577	0.000000	0.000000	3.210512	2.565835	9.666798	0.000000	6.977035	0.000000	0.000000	7.655119	5.390986	13.765546	3.283345	0.000000	6.253572	3.393305	6.109864	0.000000	2.775841	4.378954	9.918363	10.562098	0.000000	0.000000	7.306610	6.025233	3.138697	13.714289	0.000000	1.851350	0.000000	0.000000	0.000000	15.475089	0.000000	2.338154	13.439830	0.000000	0.000000	18.378906	0.000000	0.000000	0.000000	11.598349	4.946637	0.000000	0.000000	4.785650	1.232166	5.110062	0.000000	0.000000	9.886063
6	H	5.691783	4.015624	0.000000	0.000000	0.000000	3.956729	2.053931	0.342142	0.000000	0.046050	8.756558	0.000000	0.000000	2.675717	2.165528	9.096614	0.000000	6.525678	0.000000	0.000000	7.276865	4.925529	12.999869	3.039429	0.000000	6.014247	3.064753	5.611512	0.000000	2.467113	4.070793	9.423246	10.236054	0.000000	0.000000	6.983335	5.980516	3.197692	12.679520	0.220863	1.808979	0.000000	0.000000	0.000000	14.392719	0.000000	2.371252	12.790970	0.000000	0.000000	17.119617	0.000000	0.000000	0.000000	10.729641	5.101082	0.000000	0.000000	4.412609	0.911952	4.850471	0.000000	0.000000	9.363197
7	H	1.029801	1.053626	0.000000	0.000000	0.000000	0.451419	0.000000	0.603461	0.000000	1.121076	3.134784	0.000000	0.000000	0.000000	0.000000	1.789094	0.000000	1.224367	0.000000	0.000000	2.072447	0.226376	2.614712	0.568289	0.000000	1.577271	0.307148	1.240073	0.725954	0.000000	0.846012	1.603212	3.076491	0.000000	0.000000	1.203507	2.300189	1.179599	2.330385	1.484585	0.000000	0.000000	0.014315	0.000000	2.681966	0.000000	0.985097	3.315053	0.000000	0.065692	3.006282	0.000000	0.000000	0.000000	0.580832	1.746585	0.000000	0.000000	0.339894	0.000000	0.633408	0.000000	0.000000	2.100414
8	H	0.991283	1.039704	0.000000	0.000000	0.000000	0.453014	0.000000	0.586058	0.000000	1.116746	3.068945	0.000000	0.000000	0.000000	0.000000	1.735516	0.000000	1.187559	0.000000	0.000000	2.020235	0.216817	2.541548	0.557950	0.000000	1.545651	0.288708	1.213034	0.743157	0.000000	0.822116	1.567471	3.001864	0.000000	0.000000	1.173564	2.251218	1.158919	2.273721	1.468461	0.000000	0.000000	0.031874	0.000000	2.607502	0.000000	0.972208	3.243963	0.000000	0.071361	2.935690	0.000000	0.000000	0.000000	0.533140	1.709820	0.000000	0.000000	0.322309	0.000000	0.611215	0.000000	0.000000	2.039191
9	H	0.957104	1.029526	0.000000	0.000000	0.000000	0.449776	0.000000	0.567187	0.000000	1.116096	2.998939	0.000000	0.000000	0.000000	0.000000	1.683362	0.000000	1.157603	0.000000	0.000000	1.965378	0.202304	2.472875	0.549023	0.000000	1.514341	0.272358	1.186438	0.758964	0.000000	0.798591	1.532673	2.926629	0.000000	0.000000	1.138663	2.202370	1.141117	2.212072	1.447106	0.000000	0.000000	0.051798	0.000000	2.528304	0.000000	0.959819	3.162170	0.000000	0.077658	2.862406	0.000000	0.000000	0.000000	0.494626	1.677244	0.000000	0.000000	0.307751	0.000000	0.593875	0.000000	0.000000	1.979751
