node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	18.011135	3.924044	0.000000	0.000000	0.000000	5.056563	0.000000	0.000000	1.632482	7.168525	24.753170	0.000000	12.243812	0.000000	0.000000	25.319109	11.906297	34.641869	0.000000	0.000000	1.665149	14.071960	5.552164	0.000000	0.302981	4.773592	11.097934	22.057278	0.000000	0.000000	19.876860	16.024384	0.000000	37.084827	0.000000	0.000000	0.000000	0.000000	0.000000	37.972805	0.000000	0.000000	33.784794	3.878172	0.000000	34.535027	0.000000	0.000000	0.000000	16.611616	0.000000	0.000000	0.000000	1.174595	3.892618	0.367878	0.000000	10.576726	25.985647
1	C	5.218493	0.000000	0.000000	0.000000	0.000000	4.939215	0.000000	4.841678	0.000000	0.567783	17.823076	0.000000	0.000000	0.000000	1.288582	13.918828	0.000000	4.439469	0.000000	0.000000	14.463437	5.368658	19.395638	0.000000	0.000000	5.679363	4.971031	0.702084	0.000000	0.000000	2.308789	10.706710	17.920610	0.000000	0.000000	13.523044	13.980732	2.856603	18.085354	7.352289	0.000000	0.000000	0.000000	0.000000	20.742208	0.000000	3.221175	24.597578	0.000000	0.252730	20.100143	0.000000	0.000000	0.000000	4.386890	9.597458	0.000000	0.000000	0.681598	0.000000	2.823354	0.000000	0.000000	15.094646
2	C	0.612904	0.000000	0.000000	0.000000	0.000000	2.767068	0.000000	4.369039	0.000000	0.000000	9.950070	0.000000	0.000000	0.000000	0.000000	8.401068	0.000000	1.788089	0.000000	0.000000	10.144486	0.266267	10.785429	0.000000	0.000000	1.844817	3.602202	0.000000	0.000000	0.000000	0.000000	3.284428	9.793677	0.000000	0.000000	7.002198	9.312545	0.391059	9.191147	6.887593	0.000000	0.000000	0.000000	0.000000	10.380773	0.000000	0.434351	14.623001	0.000000	0.406134	7.613691	0.000000	0.000000	0.000000	0.000000	5.115349	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.890990
3	C	0.434128	0.000000	0.000000	0.000000	0.000000	2.976908	0.000000	3.268008	0.000000	0.000000	9.742292	0.000000	0.000000	0.000000	0.000000	4.560038	0.000000	0.000000	0.000000	0.000000	6.355861	1.917998	6.380167	0.000000	0.000000	0.532468	1.679759	0.000000	0.000000	0.000000	0.000000	3.394379	6.438585	0.000000	0.000000	7.309157	6.417709	0.000000	5.301344	6.530771	0.000000	0.000000	0.000000	0.000000	6.408002	0.000000	0.000000	11.607438	0.000000	0.376707	4.571323	0.000000	0.000000	0.000000	0.000000	3.863993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.112724
4	O	0.000000	0.000000	0.000000	0.000000	0.000000	3.604535	0.000000	0.000000	0.000000	0.000000	0.139957	0.000000	0.000000	0.000000	2.671765	0.000000	0.000000	0.000000	0.918187	0.000000	1.404255	2.634382	0.896370	0.000000	0.000000	0.000000	0.589024	2.028225	0.000000	0.000000	0.838204	0.000000	1.404423	0.000000	0.000000	1.928551	0.386151	0.000000	3.332703	0.000000	0.000000	0.000000	0.000000	0.000000	3.046141	0.000000	0.033852	2.308287	0.765857	0.000000	2.505580	0.000000	0.000000	0.000000	1.570709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.135377	1.086751
5	H	6.487431	4.924375	0.000000	0.000000	0.000000	5.532973	3.427289	0.000000	0.000000	0.000000	9.244386	0.000000	0.000000	4.084517	3.525399	11.097263	0.000000	7.800990	0.000000	0.000000	8.607748	6.815924	15.744792	3.865253	0.000000	7.046482	4.029813	6.998709	0.000000	3.442954	5.061324	11.671603	11.673113	0.000000	0.000000	8.689477	6.428933	3.283233	16.085505	0.000000	2.220551	0.000000	0.000000	0.000000	18.111290	0.000000	2.451375	15.514941	0.000000	0.000000	21.639496	0.000000	0.000000	0.000000	13.620865	5.270064	0.000000	0.000000	5.704948	1.821692	5.937928	0.000000	0.000000	11.179256
6	H	6.447411	4.813926	0.000000	0.000000	0.000000	5.370299	3.272629	0.000000	0.000000	0.000000	9.274066	0.000000	0.000000	3.908346	3.380422	10.891092	0.000000	7.640752	0.000000	0.000000	8.463586	6.640374	15.470137	3.778018	0.000000	6.953659	3.917449	6.818975	0.000000	3.338394	4.945543	11.481058	11.539063	0.000000	0.000000	8.558569	6.401680	3.300899	15.706094	0.000000	2.204307	0.000000	0.000000	0.000000	17.713669	0.000000	2.456881	15.262851	0.000000	0.000000	21.179270	0.000000	0.000000	0.000000	13.305655	5.314495	0.000000	0.000000	5.563269	1.719980	5.844762	0.000000	0.000000	10.987575
7	H	6.399383	4.637601	0.000000	0.000000	0.000000	5.079258	2.983128	0.000000	0.000000	0.000000	9.367539	0.000000	0.000000	3.585806	3.118456	10.532256	0.000000	7.368990	0.000000	0.000000	8.216816	6.331926	14.987655	3.633196	0.000000	6.808020	3.707738	6.517649	0.000000	3.150895	4.753011	11.161206	11.328053	0.000000	0.000000	8.334023	6.365926	3.349919	15.043935	0.000000	2.177957	0.000000	0.000000	0.000000	17.021530	0.000000	2.479749	14.835293	0.000000	0.000000	20.379133	0.000000	0.000000	0.000000	12.765779	5.411719	0.000000	0.000000	5.326070	1.521435	5.688476	0.000000	0.000000	10.657975
8	H	4.009827	2.176716	0.000000	0.000000	0.000000	1.467943	0.000000	0.925442	0.000000	1.664760	8.024226	0.000000	0.000000	0.000000	0.673030	5.193748	0.000000	3.526874	0.000000	0.000000	4.922516	2.795657	7.769574	1.476410	0.000000	4.193237	1.118230	3.131940	0.000000	0.639130	2.557060	5.835701	8.029442	1.290134	0.000000	4.571559	5.241588	2.730216	7.046947	1.795040	0.860860	0.000000	0.000000	0.000000	8.402700	0.000000	2.564973	8.703499	0.000000	0.000000	9.964009	0.000000	0.000000	0.000000	5.482073	4.668045	0.000000	0.000000	2.186748	0.000000	2.959027	0.000000	0.000000	5.951126
9	H	1.942710	1.422057	0.000000	0.000000	0.000000	0.470769	0.000000	0.777448	0.000000	1.429352	4.548079	0.000000	0.000000	0.000000	0.070764	2.663220	0.000000	2.016179	0.000000	0.000000	2.901866	0.816702	4.025737	0.827786	0.000000	2.401267	0.427540	1.916899	0.307904	0.000000	1.514726	2.659722	4.731487	0.661055	0.000000	1.894082	3.204301	1.756122	3.623771	1.533333	0.015409	0.000000	0.000000	0.000000	4.267742	0.000000	1.592667	4.756789	0.000000	0.061728	4.884286	0.000000	0.000000	0.000000	2.003021	2.654170	0.000000	0.000000	0.849753	0.000000	1.369848	0.000000	0.000000	3.298516
