node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	16.517941	2.611976	0.000000	0.000000	0.000000	2.404580	0.000000	0.000000	1.004562	5.836943	21.997896	0.000000	10.867028	0.000000	0.000000	23.501692	9.540605	30.826288	0.000000	0.000000	0.000000	13.117382	4.372025	0.000000	0.000000	3.691723	7.670493	19.561596	0.000000	0.000000	17.023943	14.545743	0.000000	32.974079	0.000129	0.000000	0.000000	0.000000	0.000000	33.386211	0.000000	0.000000	29.667376	5.673963	0.000000	28.704372	0.000000	0.000000	0.000000	12.985276	0.000000	0.000000	0.000000	0.000000	2.960793	0.000000	0.000000	10.727507	23.407740
1	C	2.299246	0.000000	0.000000	0.000000	0.000000	3.167697	0.000000	4.894488	0.000000	0.066035	13.173931	0.000000	0.000000	0.000000	0.000000	10.391567	0.000000	2.776958	0.000000	0.000000	11.768412	1.585921	13.855936	0.000000	0.000000	3.307844	3.913635	0.000000	0.000000	0.000000	0.619171	5.736840	13.075701	0.000000	0.000000	9.150156	11.204980	1.648536	12.262294	7.421177	0.000000	0.000000	0.000000	0.000000	14.024339	0.000000	1.704905	18.394207	0.000000	0.593742	11.792020	0.000000	0.000000	0.000000	0.000000	7.001674	0.000000	0.000000	0.000000	0.000000	0.376850	0.000000	0.000000	11.274186
2	C	0.151946	0.000000	0.000000	0.000000	0.000000	1.970329	0.000000	3.618074	0.000000	0.000000	8.135015	0.000000	0.000000	0.000000	0.000000	5.926724	0.000000	0.908680	0.000000	0.000000	7.519133	0.000000	7.579582	0.000000	0.000000	1.357809	2.452039	0.000000	0.000000	0.000000	0.000000	1.894583	6.655399	0.000000	0.000000	4.887245	6.965419	0.042183	5.902980	6.334767	0.000000	0.000000	0.000000	0.000000	6.530467	0.000000	0.000000	10.372308	0.000000	0.298653	4.326225	0.000000	0.000000	0.000000	0.000000	3.898678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.097986
3	O	0.821812	0.028738	0.000000	0.000000	0.000000	0.320597	0.000000	2.300789	0.000000	0.696691	6.270772	0.000000	0.000000	0.000000	0.000000	4.206651	0.000000	2.190906	0.000000	0.000000	4.913039	0.000000	5.410737	0.000000	0.000000	1.593844	1.691657	0.000000	1.057194	0.000000	0.000000	1.084676	4.589229	0.000000	0.000000	2.440202	4.960206	0.761315	2.701360	4.803711	0.000000	0.000000	0.000000	0.000000	3.259049	0.000000	0.000000	5.671587	0.000000	0.000000	2.102182	0.000000	0.000000	0.000000	0.000000	2.694369	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.033665
4	O	0.000000	0.000000	0.000000	0.000000	0.000000	0.955330	0.000000	0.388566	0.000000	0.953996	1.411956	0.000000	0.000000	0.000000	0.000000	1.119275	0.000000	1.764257	0.605787	0.000000	1.950574	0.000000	2.475579	0.000000	0.000000	0.194300	1.332048	1.328537	0.749768	0.000000	0.045888	0.000000	1.246335	0.000000	0.000000	0.137649	1.682688	0.710150	1.190288	0.923674	0.000000	0.000000	0.513195	0.000000	1.288781	0.000000	0.000000	0.650696	1.164490	0.000000	0.473056	0.000000	0.000000	0.000000	0.223760	0.000000	0.000000	0.320788	0.000000	0.000000	0.000000	0.000000	0.355055	1.689260
5	H	6.063693	4.551573	0.000000	0.000000	0.000000	4.775413	2.813132	0.049540	0.000000	0.000000	8.902088	0.000000	0.000000	3.486341	2.919497	10.132744	0.000000	7.239904	0.000000	0.000000	7.968285	5.935894	14.428799	3.501318	0.000000	6.580991	3.570331	6.467950	0.000000	3.019352	4.666852	10.565301	11.014761	0.000000	0.000000	7.803012	6.180371	3.215879	14.561541	0.000000	1.987198	0.000000	0.000000	0.000000	16.420040	0.000000	2.440875	14.195153	0.000000	0.000000	19.568836	0.000000	0.000000	0.000000	12.353957	5.080572	0.000000	0.000000	5.141135	1.388609	5.424678	0.000000	0.000000	10.324220
6	H	6.014688	4.419664	0.000000	0.000000	0.000000	4.583813	2.626963	0.113519	0.000000	0.000000	8.938647	0.000000	0.000000	3.272488	2.750805	9.884322	0.000000	7.043256	0.000000	0.000000	7.795423	5.731292	14.095578	3.396006	0.000000	6.469014	3.434101	6.254800	0.000000	2.892522	4.529272	10.338078	10.854541	0.000000	0.000000	7.649574	6.146677	3.234247	14.113235	0.000000	1.964796	0.000000	0.000000	0.000000	15.948079	0.000000	2.447509	13.899317	0.000000	0.000000	19.021378	0.000000	0.000000	0.000000	11.976288	5.129367	0.000000	0.000000	4.972539	1.264133	5.310494	0.000000	0.000000	10.093516
7	H	5.961245	4.188983	0.000000	0.000000	0.000000	4.219469	2.249757	0.239594	0.000000	0.075549	9.075397	0.000000	0.000000	2.842675	2.427515	9.413159	0.000000	6.670635	0.000000	0.000000	7.469914	5.355883	13.457274	3.207854	0.000000	6.282343	3.153503	5.861826	0.000000	2.647318	4.282455	9.940797	10.582691	0.000000	0.000000	7.378763	6.098941	3.296912	13.264589	0.106625	1.932245	0.000000	0.000000	0.000000	15.059579	0.000000	2.482189	13.366730	0.000000	0.000000	18.000185	0.000000	0.000000	0.000000	11.277458	5.257465	0.000000	0.000000	4.671750	0.998577	5.107794	0.000000	0.000000	9.658315
8	H	2.607995	1.692043	0.000000	0.000000	0.000000	0.588049	0.000000	0.869449	0.000000	1.648391	5.696641	0.000000	0.000000	0.000000	0.273195	3.348322	0.000000	2.520161	0.000000	0.000000	3.525832	1.358847	5.085752	1.028843	0.000000	3.018319	0.520242	2.392825	0.000000	0.000000	1.955799	3.547832	5.949276	1.102637	0.000000	2.560728	3.889187	2.169843	4.658493	1.600019	0.227451	0.000000	0.000000	0.000000	5.515434	0.000000	2.064430	5.925965	0.000000	0.060847	6.408304	0.000000	0.000000	0.000000	3.078102	3.372066	0.000000	0.000000	1.273795	0.000000	1.903001	0.000000	0.000000	4.160625
9	H	0.951003	1.048143	0.000000	0.000000	0.000000	0.468508	0.000000	0.568456	0.000000	1.111497	2.999343	0.000000	0.000000	0.000000	0.000000	1.685646	0.000000	1.137281	0.000000	0.000000	1.972621	0.216397	2.457619	0.558007	0.000000	1.532109	0.260040	1.209270	0.768843	0.000000	0.818747	1.542746	2.933648	0.000000	0.000000	1.140572	2.195942	1.140245	2.242268	1.454985	0.000000	0.000000	0.055820	0.000000	2.561832	0.000000	0.973485	3.193256	0.000000	0.078205	2.896513	0.000000	0.000000	0.000000	0.494286	1.667638	0.000000	0.000000	0.326444	0.000000	0.592276	0.000000	0.000000	1.973534
