node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	17.093689	3.050714	0.000000	0.000000	0.000000	2.920274	0.000000	0.000000	1.222883	6.297655	22.850393	0.000000	11.312376	0.000000	0.000000	24.109564	10.280613	32.010769	0.000000	0.000000	0.325383	13.476822	4.721622	0.000000	0.000000	4.024091	8.564560	20.279411	0.000000	0.000000	17.884302	14.956757	0.000000	34.306210	0.000000	0.000000	0.000000	0.000000	0.000000	34.824177	0.000000	0.000000	30.878798	5.329493	0.000000	30.423346	0.000000	0.000000	0.000000	14.101089	0.000000	0.000000	0.000000	0.000000	3.288912	0.000000	0.000000	10.866791	24.220108
1	C	2.850902	0.000000	0.000000	0.000000	0.000000	3.498592	0.000000	4.886891	0.000000	0.128385	14.168344	0.000000	0.000000	0.000000	0.131357	11.183108	0.000000	3.125730	0.000000	0.000000	12.448172	2.553520	15.172424	0.000000	0.000000	3.719911	4.202774	0.000000	0.000000	0.000000	1.042421	6.791800	14.368827	0.000000	0.000000	10.201433	11.906194	1.894687	13.811833	7.302231	0.000000	0.000000	0.000000	0.000000	15.747949	0.000000	2.081294	19.896992	0.000000	0.462550	13.791592	0.000000	0.000000	0.000000	0.298456	7.537737	0.000000	0.000000	0.000000	0.000000	0.901520	0.000000	0.000000	12.258218
2	C	0.077069	0.000000	0.000000	0.000000	0.000000	2.346171	0.000000	3.902689	0.000000	0.000000	8.579551	0.000000	0.000000	0.000000	0.000000	6.728513	0.000000	0.872433	0.000000	0.000000	8.463134	0.000000	8.307039	0.000000	0.000000	1.480171	2.793386	0.000000	0.000000	0.000000	0.000000	2.188044	7.523111	0.000000	0.000000	5.515462	7.716008	0.000000	6.895473	6.659634	0.000000	0.000000	0.000000	0.000000	7.727087	0.000000	0.092963	11.862485	0.000000	0.361498	5.219276	0.000000	0.000000	0.000000	0.000000	4.204773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.858897
3	O	1.303737	0.015288	0.000000	0.000000	0.000000	0.917193	0.000000	1.901078	0.000000	1.337480	6.179486	0.000000	0.000000	0.000000	0.000000	3.914490	0.000000	1.137543	0.000000	0.000000	4.503316	0.000000	4.966345	0.000000	0.000000	1.994728	1.156368	0.023211	0.139606	0.000000	0.243495	2.194707	5.221108	0.000000	0.000000	3.118955	4.736716	1.224517	3.867189	3.827601	0.000000	0.000000	0.000000	0.000000	4.532199	0.000000	1.005620	6.850742	0.000000	0.294205	3.939466	0.000000	0.000000	0.000000	0.000000	3.304208	0.000000	0.000000	0.000000	0.000000	0.122291	0.000000	0.000000	4.027912
4	O	0.000000	0.000000	0.000000	0.000000	0.000000	1.096062	0.000000	0.475778	0.000000	0.000000	1.613015	0.000000	0.000000	0.000000	0.000000	1.299708	0.000000	1.435010	0.218609	0.000000	2.768322	0.000000	2.771217	0.000000	0.000000	0.000000	1.384406	0.127548	0.000000	0.000000	0.000000	0.000000	1.510184	0.000000	0.000000	0.674473	2.223911	0.000000	1.377792	1.876264	0.000000	0.000000	0.000000	0.000000	0.926042	0.000000	0.000000	1.270969	1.587897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.365846	0.000000	0.000000	0.000000	0.000000	0.518608	1.917607
5	H	6.214100	4.686233	0.000000	0.000000	0.000000	5.026027	3.020738	0.000000	0.000000	0.000000	9.025367	0.000000	0.000000	3.696857	3.112140	10.470031	0.000000	7.450134	0.000000	0.000000	8.192084	6.219945	14.889567	3.631325	0.000000	6.744373	3.729573	6.650947	0.000000	3.164332	4.800857	10.942308	11.244931	0.000000	0.000000	8.097277	6.270445	3.250841	15.071377	0.000000	2.068992	0.000000	0.000000	0.000000	16.991358	0.000000	2.445133	14.638113	0.000000	0.000000	20.268248	0.000000	0.000000	0.000000	12.788697	5.158280	0.000000	0.000000	5.332510	1.537298	5.606604	0.000000	0.000000	10.624434
6	H	6.173005	4.574023	0.000000	0.000000	0.000000	4.863851	2.865800	0.015459	0.000000	0.000000	9.055954	0.000000	0.000000	3.518375	2.969426	10.261422	0.000000	7.284705	0.000000	0.000000	8.045744	6.047079	14.611335	3.542661	0.000000	6.650053	3.615969	6.469729	0.000000	3.058849	4.683843	10.751212	11.109074	0.000000	0.000000	7.968307	6.241786	3.267061	14.691858	0.000000	2.051607	0.000000	0.000000	0.000000	16.592855	0.000000	2.450348	14.387601	0.000000	0.000000	19.807055	0.000000	0.000000	0.000000	12.470504	5.201022	0.000000	0.000000	5.189085	1.434813	5.511834	0.000000	0.000000	10.430483
7	H	6.126770	4.398953	0.000000	0.000000	0.000000	4.577647	2.574065	0.116674	0.000000	0.000000	9.153182	0.000000	0.000000	3.192001	2.712291	9.902172	0.000000	7.009555	0.000000	0.000000	7.800255	5.745309	14.125359	3.398010	0.000000	6.505356	3.403958	6.170617	0.000000	2.869467	4.493843	10.435841	10.900789	0.000000	0.000000	7.748839	6.206947	3.314802	14.036597	0.000000	2.023820	0.000000	0.000000	0.000000	15.906432	0.000000	2.474669	13.968338	0.000000	0.000000	19.013174	0.000000	0.000000	0.000000	11.932351	5.296854	0.000000	0.000000	4.955690	1.232051	5.354132	0.000000	0.000000	10.100307
8	H	2.860173	1.738581	0.000000	0.000000	0.000000	0.678750	0.000000	0.907636	0.000000	1.716330	6.219228	0.000000	0.000000	0.000000	0.356820	3.646546	0.000000	2.635861	0.000000	0.000000	3.793624	1.610067	5.517869	1.082658	0.000000	3.219811	0.584124	2.504277	0.000000	0.037616	2.056025	3.925172	6.411924	1.200431	0.000000	2.930438	4.191237	2.303619	5.070246	1.674337	0.328268	0.000000	0.000000	0.000000	6.016540	0.000000	2.220587	6.452503	0.000000	0.053572	7.008785	0.000000	0.000000	0.000000	3.432006	3.686887	0.000000	0.000000	1.410087	0.000000	2.073124	0.000000	0.000000	4.491828
9	H	1.322907	1.176634	0.000000	0.000000	0.000000	0.466539	0.000000	0.642996	0.000000	1.248638	3.602276	0.000000	0.000000	0.000000	0.000000	2.022973	0.000000	1.422579	0.000000	0.000000	2.312629	0.448588	2.991135	0.635490	0.000000	1.857143	0.298066	1.442032	0.652442	0.000000	1.065623	1.947808	3.597298	0.187879	0.000000	1.433634	2.579904	1.361523	2.724634	1.500999	0.000000	0.000000	0.000000	0.000000	3.154378	0.000000	1.215623	3.778155	0.000000	0.078580	3.587798	0.000000	0.000000	0.000000	0.991637	2.048160	0.000000	0.000000	0.483111	0.000000	0.864913	0.000000	0.000000	2.443838
