node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	18.367065	3.857523	0.000000	0.000000	0.000000	2.424285	0.000000	0.000000	1.735860	6.948952	24.218601	0.000000	12.315084	0.000000	0.000000	25.244541	11.097791	33.963291	0.000000	0.000000	0.343203	14.396270	5.146724	0.000000	0.000000	4.412451	9.042626	21.037441	0.000000	0.000000	18.964659	15.359138	0.000000	36.395901	0.000000	0.000000	0.000000	0.000000	0.000000	36.899876	0.000000	0.000000	32.162422	5.926130	0.000000	32.409367	0.000000	0.000000	0.000000	15.879136	0.000000	0.000000	0.000000	0.186502	4.023890	0.000000	0.000000	12.114364	25.578543
1	C	3.433219	0.000000	0.000000	0.000000	0.000000	8.393561	0.000000	0.495614	0.000000	0.000000	13.347248	0.000000	0.000000	0.000000	7.253938	9.467409	0.000000	0.000000	0.000000	0.000000	9.686599	11.706085	12.656883	0.000000	0.000000	2.584762	2.813669	0.360030	0.000000	0.000000	1.799723	11.773471	12.435039	0.000000	0.000000	15.519506	9.066481	0.000000	18.033815	3.870220	0.000000	0.000000	0.000000	0.000000	19.715240	0.000000	3.068889	24.479513	0.000000	0.000000	21.221542	0.000000	0.000000	0.000000	3.807751	5.677741	0.000000	0.000000	1.454593	0.000000	1.688084	0.000000	0.000000	9.826603
2	C	0.000000	0.000000	0.000000	0.000000	0.000000	7.312867	0.000000	0.000000	0.000000	0.000000	2.970484	0.000000	0.000000	0.000000	5.901769	3.871938	0.000000	0.000000	0.000000	0.000000	5.392087	8.081630	5.429626	0.000000	0.000000	0.000000	1.700090	0.000000	0.000000	0.000000	0.536067	4.399248	5.565219	0.000000	0.000000	8.897291	3.813136	0.000000	10.528845	0.932002	0.000000	0.000000	0.000000	0.000000	10.713057	0.000000	0.262009	13.341168	0.000000	0.000000	10.234327	0.000000	0.000000	0.000000	0.661722	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.585082
3	C	0.133741	0.000000	0.000000	0.000000	0.000000	2.254797	0.000000	3.961338	0.000000	0.000000	8.709780	0.000000	0.000000	0.000000	0.000000	6.672114	0.000000	1.086496	0.000000	0.000000	8.352348	0.000000	8.460750	0.000000	0.000000	1.444192	2.843991	0.000000	0.000000	0.000000	0.000000	2.096676	7.420468	0.000000	0.000000	5.429882	7.627987	0.025473	6.769994	6.774464	0.000000	0.000000	0.000000	0.000000	7.550784	0.000000	0.000000	11.655249	0.000000	0.286722	5.053428	0.000000	0.000000	0.000000	0.000000	4.140630	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.878351
4	H	6.198214	4.857286	0.000000	0.000000	0.000000	5.434123	3.418369	0.000000	0.000000	0.000000	8.789229	0.000000	0.000000	4.126712	3.403892	10.984160	0.000000	7.819852	0.000000	0.000000	8.546222	6.525647	15.544902	3.770371	0.000000	6.830649	4.074489	6.925131	0.000000	3.368847	4.942169	11.284438	11.395265	0.000000	0.000000	8.376907	6.302382	3.129252	15.878282	0.000000	2.090821	0.000000	0.000000	0.000000	17.818008	0.000000	2.293611	15.139306	0.000000	0.000000	21.174879	0.000000	0.000000	0.000000	13.362242	4.999307	0.000000	0.000000	5.564303	1.864046	5.741164	0.000000	0.132723	11.062243
5	H	6.148122	4.724233	0.000000	0.000000	0.000000	5.240117	3.233909	0.000000	0.000000	0.000000	8.823396	0.000000	0.000000	3.914966	3.233107	10.735525	0.000000	7.624066	0.000000	0.000000	8.371973	6.318049	15.213064	3.664809	0.000000	6.717854	3.939415	6.710296	0.000000	3.243230	4.802917	11.054912	11.232836	0.000000	0.000000	8.221064	6.267655	3.148067	15.425913	0.000000	2.069348	0.000000	0.000000	0.000000	17.342611	0.000000	2.299332	14.838864	0.000000	0.000000	20.624006	0.000000	0.000000	0.000000	12.983309	5.048623	0.000000	0.000000	5.393416	1.742207	5.627752	0.000000	0.000000	10.831271
6	H	6.093733	4.495099	0.000000	0.000000	0.000000	4.870200	2.855848	0.022792	0.000000	0.000000	8.958831	0.000000	0.000000	3.488433	2.902471	10.267248	0.000000	7.260098	0.000000	0.000000	8.049300	5.933087	14.580834	3.477411	0.000000	6.532108	3.661401	6.318132	0.000000	2.998615	4.555555	10.652901	10.962753	0.000000	0.000000	7.943719	6.222189	3.213289	14.572944	0.000000	2.037223	0.000000	0.000000	0.000000	16.450909	0.000000	2.333439	14.299460	0.000000	0.000000	19.597336	0.000000	0.000000	0.000000	12.284838	5.179320	0.000000	0.000000	5.090539	1.478401	5.426288	0.000000	0.000000	10.399940
7	H	1.455370	1.584292	0.000000	0.000000	0.000000	0.610142	0.000000	1.220186	0.000000	0.000000	3.614894	0.000000	0.000000	0.825606	0.000000	4.065752	0.000000	3.797302	0.000000	0.000000	4.040121	0.000000	5.853042	0.914141	0.000000	2.175856	1.613599	2.395742	0.000000	0.000000	1.359917	2.210510	4.894457	0.000000	0.000000	1.491875	3.427852	1.479240	4.568205	1.323624	0.000000	0.000000	0.170439	0.000000	5.192226	0.000000	0.671990	4.612598	0.000000	0.000000	5.158987	0.000000	0.000000	0.000000	2.845670	2.115546	0.000000	0.000000	1.063534	0.000000	1.249942	0.000000	0.000000	4.561374
8	H	1.059353	1.065997	0.000000	0.000000	0.000000	0.450624	0.000000	0.602503	0.000000	1.139590	3.175832	0.000000	0.000000	0.000000	0.000000	1.803557	0.000000	1.244690	0.000000	0.000000	2.086620	0.250774	2.646156	0.574178	0.000000	1.604254	0.301748	1.257005	0.721660	0.000000	0.867000	1.638672	3.123103	0.000000	0.000000	1.223421	2.323208	1.198971	2.361568	1.478651	0.000000	0.000000	0.001003	0.000000	2.717746	0.000000	1.011815	3.348012	0.000000	0.069581	3.059052	0.000000	0.000000	0.000000	0.625209	1.778472	0.000000	0.000000	0.352656	0.000000	0.660016	0.000000	0.000000	2.128756
9	H	1.029847	1.056175	0.000000	0.000000	0.000000	0.451730	0.000000	0.588030	0.000000	1.137390	3.124522	0.000000	0.000000	0.000000	0.000000	1.761095	0.000000	1.216671	0.000000	0.000000	2.045119	0.244151	2.588514	0.566547	0.000000	1.580744	0.286242	1.237013	0.735765	0.000000	0.849220	1.611634	3.065323	0.000000	0.000000	1.199407	2.284672	1.183573	2.317450	1.465227	0.000000	0.000000	0.015019	0.000000	2.659345	0.000000	1.003189	3.291668	0.000000	0.074327	3.005420	0.000000	0.000000	0.000000	0.589604	1.750405	0.000000	0.000000	0.340110	0.000000	0.643919	0.000000	0.000000	2.080567
10	H	0.998930	1.046232	0.000000	0.000000	0.000000	0.449907	0.000000	0.571498	0.000000	1.135753	3.062548	0.000000	0.000000	0.000000	0.000000	1.714848	0.000000	1.189465	0.000000	0.000000	1.996946	0.232587	2.527725	0.558929	0.000000	1.552753	0.271882	1.213518	0.748427	0.000000	0.828589	1.580960	2.999090	0.000000	0.000000	1.169686	2.241817	1.168199	2.263691	1.446603	0.000000	0.000000	0.032584	0.000000	2.590456	0.000000	0.992357	3.221614	0.000000	0.079977	2.941526	0.000000	0.000000	0.000000	0.555164	1.721843	0.000000	0.000000	0.326356	0.000000	0.628201	0.000000	0.000000	2.028080
