node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	18.355940	3.831511	0.000000	0.000000	0.000000	2.302401	0.000000	0.000000	1.727891	6.923287	24.157692	0.000000	12.291057	0.000000	0.000000	25.215431	11.038966	33.881882	0.000000	0.000000	0.273238	14.389366	5.117050	0.000000	0.000000	4.384720	8.925539	20.970346	0.000000	0.000000	18.892569	15.316615	0.000000	36.314678	0.000000	0.000000	0.000000	0.000000	0.000000	36.799011	0.000000	0.000000	32.054077	6.015910	0.000000	32.255638	0.000000	0.000000	0.000000	15.794988	0.000000	0.000000	0.000000	0.123232	4.008708	0.000000	0.000000	12.159747	25.525602
1	C	3.216825	0.000000	0.000000	0.000000	0.000000	8.336622	0.000000	0.453490	0.000000	0.000000	13.065233	0.000000	0.000000	0.000000	7.272285	9.185796	0.000000	0.000000	0.000000	0.000000	9.483750	11.636974	12.237441	0.000000	0.000000	2.419274	2.691051	0.291040	0.000000	0.000000	1.725135	11.532540	12.161819	0.000000	0.000000	15.326878	8.852179	0.000000	17.721991	3.830395	0.000000	0.000000	0.000000	0.000000	19.372375	0.000000	3.018879	24.158808	0.000000	0.000000	20.807199	0.000000	0.000000	0.000000	3.520824	5.497085	0.000000	0.000000	1.385387	0.000000	1.545080	0.000000	0.000000	9.542779
2	C	0.000000	0.000000	0.000000	0.000000	0.000000	7.777780	0.000000	0.000000	0.000000	0.000000	2.676212	0.000000	0.000000	0.000000	5.079845	5.186146	0.000000	0.000000	0.000000	0.000000	7.803475	6.863672	7.177223	0.000000	0.000000	0.000000	2.913532	0.000000	0.000000	0.000000	0.000000	2.788266	6.998946	0.000000	0.000000	9.382609	5.431309	0.000000	11.532276	2.197856	0.000000	0.000000	0.000000	0.000000	11.756101	0.000000	0.000000	14.689791	0.000000	0.000000	9.072616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.289905
3	C	1.046908	0.000000	0.000000	0.000000	0.000000	1.499325	0.000000	3.191669	0.000000	0.421585	8.089062	0.000000	0.000000	0.000000	0.000000	5.630417	0.000000	1.270581	0.000000	0.000000	6.588074	0.000000	7.284860	0.000000	0.000000	1.848083	2.084191	0.000000	0.000000	0.000000	0.000000	2.444633	6.607393	0.000000	0.000000	4.578414	6.493394	0.973717	5.524929	5.553923	0.000000	0.000000	0.000000	0.000000	6.367262	0.000000	0.564191	9.748692	0.000000	0.373087	4.864459	0.000000	0.000000	0.000000	0.000000	4.219518	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.807631
4	H	6.198214	4.857286	0.000000	0.000000	0.000000	5.434123	3.418369	0.000000	0.000000	0.000000	8.789229	0.000000	0.000000	4.126712	3.403892	10.984160	0.000000	7.819852	0.000000	0.000000	8.546222	6.525647	15.544902	3.770371	0.000000	6.830649	4.074489	6.925131	0.000000	3.368847	4.942169	11.284438	11.395265	0.000000	0.000000	8.376907	6.302382	3.129252	15.878282	0.000000	2.090821	0.000000	0.000000	0.000000	17.818008	0.000000	2.293611	15.139306	0.000000	0.000000	21.174879	0.000000	0.000000	0.000000	13.362242	4.999307	0.000000	0.000000	5.564303	1.864046	5.741164	0.000000	0.132723	11.062243
5	H	6.148122	4.724233	0.000000	0.000000	0.000000	5.240117	3.233909	0.000000	0.000000	0.000000	8.823396	0.000000	0.000000	3.914966	3.233107	10.735525	0.000000	7.624066	0.000000	0.000000	8.371973	6.318049	15.213064	3.664809	0.000000	6.717854	3.939415	6.710296	0.000000	3.243230	4.802917	11.054912	11.232836	0.000000	0.000000	8.221064	6.267655	3.148067	15.425913	0.000000	2.069348	0.000000	0.000000	0.000000	17.342611	0.000000	2.299332	14.838864	0.000000	0.000000	20.624006	0.000000	0.000000	0.000000	12.983309	5.048623	0.000000	0.000000	5.393416	1.742207	5.627752	0.000000	0.000000	10.831271
6	H	6.093733	4.495099	0.000000	0.000000	0.000000	4.870200	2.855848	0.022792	0.000000	0.000000	8.958831	0.000000	0.000000	3.488433	2.902471	10.267248	0.000000	7.260098	0.000000	0.000000	8.049300	5.933087	14.580834	3.477411	0.000000	6.532108	3.661401	6.318132	0.000000	2.998615	4.555555	10.652901	10.962753	0.000000	0.000000	7.943719	6.222189	3.213289	14.572944	0.000000	2.037223	0.000000	0.000000	0.000000	16.450909	0.000000	2.333439	14.299460	0.000000	0.000000	19.597336	0.000000	0.000000	0.000000	12.284838	5.179320	0.000000	0.000000	5.090539	1.478401	5.426288	0.000000	0.000000	10.399940
7	H	2.045834	1.636447	0.000000	0.000000	0.000000	0.473025	0.000000	1.155583	0.000000	0.724718	4.680088	0.000000	0.000000	0.301233	0.000000	3.772889	0.000000	3.318351	0.000000	0.000000	3.816972	0.171951	5.578372	0.968131	0.000000	2.546705	1.182829	2.270103	0.081752	0.000000	1.532309	2.716376	5.309002	0.427464	0.000000	1.911143	3.687607	1.843930	4.355941	1.595711	0.163363	0.000000	0.000000	0.000000	5.118072	0.000000	1.207960	5.030962	0.000000	0.000000	5.385396	0.000000	0.000000	0.000000	2.835129	2.766394	0.000000	0.000000	1.054153	0.000000	1.495541	0.000000	0.000000	4.375566
8	H	1.998517	1.592150	0.000000	0.000000	0.000000	0.436576	0.000000	1.073410	0.000000	0.906326	4.591495	0.000000	0.000000	0.210493	0.000000	3.474694	0.000000	2.992766	0.000000	0.000000	3.528555	0.221492	5.151803	0.956270	0.000000	2.467902	1.017760	2.157567	0.185210	0.000000	1.472752	2.628967	5.043436	0.500658	0.000000	1.838509	3.511130	1.824710	4.043709	1.611274	0.172147	0.000000	0.000000	0.000000	4.782807	0.000000	1.238076	4.832955	0.000000	0.000000	5.110574	0.000000	0.000000	0.000000	2.584079	2.703071	0.000000	0.000000	0.992409	0.000000	1.428860	0.000000	0.000000	4.040539
9	H	0.737591	0.935142	0.000000	0.000000	0.000000	0.361475	0.000000	0.591174	0.000000	0.945552	2.570640	0.000000	0.000000	0.023615	0.000000	1.626610	0.000000	1.170010	0.000000	0.000000	1.850457	0.000000	2.371265	0.528515	0.000000	1.229664	0.436219	1.034516	0.754758	0.000000	0.583536	1.182159	2.510461	0.000000	0.000000	0.890738	2.022958	0.991389	1.868190	1.442359	0.000000	0.000000	0.224189	0.000000	2.162034	0.000000	0.640018	2.706491	0.000000	0.015710	2.314271	0.000000	0.000000	0.000000	0.236321	1.410664	0.000000	0.000000	0.195720	0.000000	0.395965	0.000000	0.000000	1.814420
