node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	16.606737	2.763654	0.000000	0.000000	0.000000	3.159213	0.000000	0.000000	1.066526	5.963623	22.450336	0.000000	11.111091	0.000000	0.000000	23.754776	9.879651	31.452747	0.000000	0.000000	0.368279	13.207099	4.565103	0.000000	0.000000	3.874722	8.386179	20.053919	0.000000	0.000000	17.491846	14.856233	0.000000	33.529022	0.048228	0.000000	0.000000	0.000000	0.000000	34.080830	0.000000	0.000000	30.354607	5.145523	0.000000	29.692863	0.000000	0.000000	0.000000	13.594358	0.000000	0.000000	0.000000	0.000000	3.069805	0.000000	0.000000	10.491910	23.824577
1	C	2.255333	0.000000	0.000000	0.000000	0.000000	3.511656	0.000000	4.846622	0.000000	0.000000	13.105896	0.000000	0.000000	0.000000	0.075491	10.997215	0.000000	3.131685	0.000000	0.000000	12.326256	2.174367	14.795815	0.000000	0.000000	3.245591	4.364474	0.000000	0.000000	0.000000	0.823480	6.140118	13.708298	0.000000	0.000000	9.713489	11.518057	1.493449	13.523317	7.069697	0.000000	0.000000	0.000000	0.000000	15.301854	0.000000	1.638771	19.254625	0.000000	0.399369	13.050634	0.000000	0.000000	0.000000	0.000000	6.866370	0.000000	0.000000	0.000000	0.000000	0.528930	0.000000	0.000000	12.001266
2	C	0.507403	0.000000	0.000000	0.000000	0.000000	1.451662	0.000000	3.585125	0.000000	0.175542	8.415421	0.000000	0.000000	0.000000	0.000000	5.688122	0.000000	1.090884	0.000000	0.000000	7.065034	0.000000	7.272264	0.000000	0.000000	1.592734	2.204405	0.000000	0.000000	0.000000	0.000000	1.784391	6.280775	0.000000	0.000000	4.447831	6.781332	0.384553	5.061074	6.452946	0.000000	0.000000	0.000000	0.000000	5.663829	0.000000	0.066036	9.487114	0.000000	0.324446	3.714635	0.000000	0.000000	0.000000	0.000000	4.133554	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.694797
3	O	0.000000	0.000000	0.000000	0.000000	0.000000	0.272164	0.000000	1.357265	0.000000	0.553007	3.227485	0.000000	0.000000	0.000000	0.000000	2.438863	0.000000	2.279094	0.000000	0.000000	3.549112	0.000000	3.702601	0.000000	0.000000	0.457515	1.540945	0.032773	1.261199	0.000000	0.000000	0.000000	2.293442	0.000000	0.000000	0.475390	3.248185	0.308368	1.342132	3.113329	0.000000	0.000000	0.000000	0.000000	1.132717	0.000000	0.000000	2.075866	1.084560	0.000000	0.097462	0.000000	0.000000	0.000000	0.000000	0.730006	0.000000	0.321519	0.000000	0.000000	0.000000	0.000000	0.000000	2.546307
4	O	0.000000	0.000000	0.000000	0.000000	0.000000	1.079135	0.000000	0.256440	0.000000	1.230543	1.352625	0.000000	0.000000	0.000000	0.000000	0.742791	0.000000	1.537946	0.932780	0.000000	1.726641	0.000000	2.016541	0.000000	0.000000	0.108305	1.201489	1.315351	0.967012	0.000000	0.000000	0.000000	0.951538	0.000000	0.000000	0.030892	1.534492	0.687238	0.846523	0.851995	0.000000	0.000000	0.456044	0.000000	0.872113	0.000000	0.000000	0.255893	1.126994	0.000000	0.076833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.384068	0.000000	0.000000	0.000000	0.000000	0.122570	1.365542
5	H	6.224462	4.641495	0.000000	0.000000	0.000000	4.944876	2.934469	0.000000	0.000000	0.000000	9.087775	0.000000	0.000000	3.595250	3.059175	10.355408	0.000000	7.355470	0.000000	0.000000	8.111959	6.170067	14.746201	3.598743	0.000000	6.725893	3.652712	6.583168	0.000000	3.122514	4.768692	10.881109	11.211624	0.000000	0.000000	8.053699	6.262551	3.274029	14.899005	0.000000	2.072396	0.000000	0.000000	0.000000	16.816601	0.000000	2.478519	14.539124	0.000000	0.000000	20.081749	0.000000	0.000000	0.000000	12.666754	5.198174	0.000000	0.000000	5.285192	1.469494	5.579318	0.000000	0.000000	10.525692
6	H	6.175458	4.509585	0.000000	0.000000	0.000000	4.753277	2.748300	0.048859	0.000000	0.000000	9.124334	0.000000	0.000000	3.381397	2.890482	10.106985	0.000000	7.158823	0.000000	0.000000	7.939098	5.965466	14.412981	3.493432	0.000000	6.613916	3.516483	6.370018	0.000000	2.995684	4.631113	10.653887	11.051402	0.000000	0.000000	7.900261	6.228858	3.292395	14.450698	0.000000	2.049993	0.000000	0.000000	0.000000	16.344641	0.000000	2.485154	14.243291	0.000000	0.000000	19.534290	0.000000	0.000000	0.000000	12.289084	5.246969	0.000000	0.000000	5.116595	1.345017	5.465135	0.000000	0.000000	10.294991
7	H	6.122013	4.278905	0.000000	0.000000	0.000000	4.388931	2.371095	0.174934	0.000000	0.074850	9.261084	0.000000	0.000000	2.951585	2.567192	9.635824	0.000000	6.786202	0.000000	0.000000	7.613589	5.590054	13.774678	3.305280	0.000000	6.427245	3.235885	5.977045	0.000000	2.750480	4.384296	10.256605	10.779553	0.000000	0.000000	7.629451	6.181121	3.355063	13.602055	0.020428	2.017442	0.000000	0.000000	0.000000	15.456142	0.000000	2.519835	13.710701	0.000000	0.000000	18.513102	0.000000	0.000000	0.000000	11.590258	5.375068	0.000000	0.000000	4.815808	1.079462	5.262435	0.000000	0.000000	9.859788
8	H	2.809194	1.628445	0.000000	0.000000	0.000000	0.698939	0.000000	0.898369	0.000000	1.716123	6.204799	0.000000	0.000000	0.000000	0.380951	3.558639	0.000000	2.482156	0.000000	0.000000	3.721198	1.662755	5.399508	1.016939	0.000000	3.137353	0.546314	2.381484	0.000000	0.000000	1.973775	3.902518	6.311975	1.148960	0.000000	2.975695	4.151796	2.254212	4.965718	1.707540	0.298538	0.000000	0.000000	0.000000	5.902953	0.000000	2.185165	6.429265	0.000000	0.064606	6.893608	0.000000	0.000000	0.000000	3.280268	3.661722	0.000000	0.000000	1.334649	0.000000	2.025201	0.000000	0.000000	4.391172
9	H	2.740546	1.620596	0.000000	0.000000	0.000000	0.658813	0.000000	0.872677	0.000000	1.715199	6.032048	0.000000	0.000000	0.000000	0.382855	3.433040	0.000000	2.424613	0.000000	0.000000	3.618661	1.601977	5.214520	0.996534	0.000000	3.089974	0.488762	2.362539	0.000000	0.000000	1.960011	3.777285	6.169868	1.131945	0.000000	2.828705	4.045179	2.215971	4.831089	1.663177	0.249325	0.000000	0.000000	0.000000	5.723504	0.000000	2.170552	6.249610	0.000000	0.075685	6.710630	0.000000	0.000000	0.000000	3.150622	3.574414	0.000000	0.000000	1.298942	0.000000	1.982609	0.000000	0.000000	4.272374
10	H	0.676797	0.950695	0.000000	0.000000	0.000000	0.421214	0.000000	0.536276	0.000000	1.016938	2.543096	0.000000	0.000000	0.000000	0.000000	1.456600	0.000000	0.943186	0.000000	0.000000	1.716957	0.000000	2.084322	0.468417	0.000000	1.258570	0.272132	0.975918	0.904925	0.000000	0.573071	1.201967	2.395680	0.000000	0.000000	0.885269	1.918596	0.944673	1.793847	1.439649	0.000000	0.000000	0.190246	0.000000	2.029541	0.000000	0.743782	2.658523	0.000000	0.080991	2.254804	0.000000	0.000000	0.000000	0.063076	1.392720	0.000000	0.000000	0.195377	0.000000	0.363272	0.000000	0.000000	1.630583
11	H	0.653891	0.949056	0.000000	0.000000	0.000000	0.420115	0.000000	0.520014	0.000000	1.014437	2.484189	0.000000	0.000000	0.000000	0.000000	1.413115	0.000000	0.918858	0.000000	0.000000	1.666026	0.000000	2.029851	0.463666	0.000000	1.235625	0.256537	0.961464	0.912320	0.000000	0.560757	1.183376	2.336161	0.000000	0.000000	0.859081	1.872297	0.932170	1.754535	1.411521	0.000000	0.000000	0.209123	0.000000	1.976743	0.000000	0.738561	2.596167	0.000000	0.087947	2.210297	0.000000	0.000000	0.000000	0.053694	1.363837	0.000000	0.000000	0.192042	0.000000	0.356001	0.000000	0.000000	1.585864
