node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	17.266970	3.266734	0.000000	0.000000	0.000000	3.754286	0.000000	0.000000	1.321613	6.485304	23.435873	0.000000	11.634654	0.000000	0.000000	24.457283	10.720669	32.825558	0.000000	0.000000	0.824017	13.624841	4.967300	0.000000	0.000000	4.255375	9.412696	20.880365	0.000000	0.000000	18.479151	15.329987	0.000000	35.060196	0.000000	0.000000	0.000000	0.000000	0.000000	35.735867	0.000000	0.000000	31.741970	4.755666	0.000000	31.667913	0.000000	0.000000	0.000000	14.887385	0.000000	0.000000	0.000000	0.274074	3.449297	0.000000	0.000000	10.659331	24.764210
1	C	2.969083	0.000000	0.000000	0.000000	0.000000	3.954352	0.000000	4.896055	0.000000	0.000000	14.127023	0.000000	0.000000	0.000000	0.490332	12.205712	0.000000	3.918378	0.000000	0.000000	13.291916	3.048970	16.604000	0.000000	0.000000	3.891613	4.793919	0.000000	0.000000	0.000000	1.324006	7.356336	15.144204	0.000000	0.000000	10.700429	12.309454	1.759093	15.379628	6.935389	0.000000	0.000000	0.000000	0.000000	17.314280	0.000000	1.970746	20.902090	0.000000	0.246910	15.422042	0.000000	0.000000	0.000000	1.400005	7.478399	0.000000	0.000000	0.000000	0.000000	1.226694	0.000000	0.000000	13.345298
2	C	0.690781	0.000000	0.000000	0.000000	0.000000	1.805465	0.000000	3.853643	0.000000	0.192334	9.175340	0.000000	0.000000	0.000000	0.000000	6.222172	0.000000	0.803076	0.000000	0.000000	7.573051	0.000000	7.788840	0.000000	0.000000	1.849385	2.299639	0.000000	0.000000	0.000000	0.000000	2.331433	6.981966	0.000000	0.000000	5.160858	7.305565	0.560706	5.816282	6.839456	0.000000	0.000000	0.000000	0.000000	6.652838	0.000000	0.349172	10.869765	0.000000	0.471244	4.612898	0.000000	0.000000	0.000000	0.000000	4.629666	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.204778
3	O	0.505685	0.421493	0.000000	0.000000	0.000000	0.343498	0.000000	1.391606	0.000000	0.798457	3.782799	0.000000	0.000000	0.000000	0.000000	2.591171	0.000000	1.429195	0.000000	0.000000	3.174091	0.000000	3.507616	0.000000	0.000000	1.193479	1.012396	0.176078	1.225486	0.000000	0.000000	0.778946	3.123399	0.000000	0.000000	1.338441	3.186583	0.661960	2.154986	2.864258	0.000000	0.000000	0.000000	0.000000	2.363827	0.000000	0.186245	3.672802	0.000000	0.000000	1.737087	0.000000	0.000000	0.000000	0.000000	1.854187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.646804
4	O	0.000000	0.000000	0.000000	0.000000	0.000000	1.112789	0.000000	0.356991	0.000000	0.069078	1.427025	0.000000	0.000000	0.000000	0.000000	1.085981	0.000000	1.420295	0.485215	0.000000	2.518986	0.000000	2.464215	0.000000	0.000000	0.000000	1.301192	0.315412	0.000000	0.000000	0.000000	0.000000	1.255555	0.000000	0.000000	0.449463	2.043699	0.000000	1.128091	1.684462	0.000000	0.000000	0.000000	0.000000	0.702672	0.000000	0.000000	0.883962	1.550753	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.423474	0.000000	0.000000	0.000000	0.000000	0.403595	1.666492
5	H	6.405383	4.798519	0.000000	0.000000	0.000000	5.252273	3.184575	0.000000	0.000000	0.000000	9.238441	0.000000	0.000000	3.845969	3.294780	10.765450	0.000000	7.606419	0.000000	0.000000	8.386460	6.517493	15.307308	3.751764	0.000000	6.920911	3.848419	6.800303	0.000000	3.297218	4.928659	11.338475	11.490258	0.000000	0.000000	8.416705	6.373462	3.309962	15.522470	0.000000	2.172043	0.000000	0.000000	0.000000	17.512964	0.000000	2.479954	15.080463	0.000000	0.000000	20.931215	0.000000	0.000000	0.000000	13.192198	5.289489	0.000000	0.000000	5.516503	1.651054	5.795866	0.000000	0.000000	10.890689
6	H	6.364287	4.686309	0.000000	0.000000	0.000000	5.090097	3.029637	0.000000	0.000000	0.000000	9.269030	0.000000	0.000000	3.667487	3.152066	10.556840	0.000000	7.440990	0.000000	0.000000	8.240120	6.344628	15.029077	3.663100	0.000000	6.826591	3.734815	6.619084	0.000000	3.191734	4.811646	11.147379	11.354401	0.000000	0.000000	8.287737	6.344803	3.326182	15.142951	0.000000	2.154658	0.000000	0.000000	0.000000	17.114460	0.000000	2.485169	14.829953	0.000000	0.000000	20.470024	0.000000	0.000000	0.000000	12.874002	5.332231	0.000000	0.000000	5.373079	1.548568	5.701097	0.000000	0.000000	10.696739
7	H	6.318051	4.511240	0.000000	0.000000	0.000000	4.803895	2.737902	0.033802	0.000000	0.000000	9.366259	0.000000	0.000000	3.341113	2.894931	10.197590	0.000000	7.165839	0.000000	0.000000	7.994631	6.042859	14.543099	3.518448	0.000000	6.681896	3.522804	6.319971	0.000000	3.002351	4.621645	10.832008	11.146115	0.000000	0.000000	8.068270	6.309964	3.373922	14.487690	0.000000	2.126871	0.000000	0.000000	0.000000	16.428040	0.000000	2.509490	14.410687	0.000000	0.000000	19.676142	0.000000	0.000000	0.000000	12.335853	5.428062	0.000000	0.000000	5.139684	1.345807	5.543393	0.000000	0.000000	10.366561
8	H	3.224597	1.732656	0.000000	0.000000	0.000000	0.949133	0.000000	0.931456	0.000000	1.725294	6.965841	0.000000	0.000000	0.000000	0.445294	4.104668	0.000000	2.785095	0.000000	0.000000	4.145569	2.085183	6.215093	1.124955	0.000000	3.463504	0.735661	2.541410	0.000000	0.190994	2.113250	4.590662	6.936068	1.229463	0.000000	3.623355	4.588832	2.414999	5.610645	1.820050	0.491497	0.000000	0.000000	0.000000	6.722485	0.000000	2.300690	7.255127	0.000000	0.023371	7.884942	0.000000	0.000000	0.000000	3.974098	4.055992	0.000000	0.000000	1.573823	0.000000	2.324110	0.000000	0.000000	4.914719
9	H	3.067252	1.658183	0.000000	0.000000	0.000000	0.828455	0.000000	0.923516	0.000000	1.776232	6.806938	0.000000	0.000000	0.000000	0.423984	3.826113	0.000000	2.599113	0.000000	0.000000	3.938940	2.000872	5.829022	1.044312	0.000000	3.335595	0.598607	2.436330	0.000000	0.106745	2.041261	4.360420	6.725401	1.311871	0.000000	3.446087	4.441529	2.371220	5.287540	1.848173	0.392773	0.000000	0.000000	0.000000	6.358181	0.000000	2.278632	6.978134	0.000000	0.052490	7.465831	0.000000	0.000000	0.000000	3.689049	3.921052	0.000000	0.000000	1.456172	0.000000	2.212209	0.000000	0.000000	4.663054
