node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.118048	0.000000	0.000000	0.000000	0.000000	19.220081	4.686590	0.000000	0.000000	0.000000	4.802324	0.000000	0.000000	2.099031	7.916106	26.102327	0.000000	13.161128	0.000000	0.000000	26.429661	12.916918	36.579765	0.000000	0.000000	1.794673	14.881825	6.010479	0.000000	0.842584	5.264453	11.844797	22.981939	0.000000	0.000000	21.063480	16.514004	0.000000	39.257404	0.000000	0.000000	0.000000	0.000000	0.000000	40.194927	0.000000	0.000000	35.287270	4.126961	0.000000	36.787373	0.000000	0.000000	0.000000	18.412397	0.000000	0.000000	0.000000	1.625660	4.565392	0.610903	0.000000	11.489601	27.332296
1	C	5.778357	0.000000	0.000000	0.000000	0.000000	7.090945	0.000000	4.463964	0.000000	0.000000	17.258295	0.000000	0.000000	0.000000	2.137351	17.962646	0.000000	7.698177	0.000000	0.000000	17.705948	6.512068	24.690113	0.000000	0.000000	6.345890	7.375932	2.539893	0.000000	0.000000	3.241656	12.825935	19.985617	0.000000	0.000000	15.198040	15.372888	2.251258	23.422394	5.858491	0.000000	0.000000	0.000000	0.000000	26.119005	0.000000	2.671952	28.021761	0.000000	0.000000	25.661392	0.000000	0.000000	0.000000	8.350741	9.610243	0.000000	0.000000	2.308264	0.000000	3.759618	0.000000	0.000000	18.870392
2	C	1.527996	0.000000	0.000000	0.000000	0.000000	2.863806	0.000000	4.569993	0.000000	0.050279	11.684139	0.000000	0.000000	0.000000	0.000000	8.920831	0.000000	1.659818	0.000000	0.000000	10.398133	0.843118	11.511091	0.000000	0.000000	2.613912	3.365165	0.000000	0.000000	0.000000	0.000000	4.455838	10.905235	0.000000	0.000000	7.962408	9.974089	1.160733	9.896186	7.359284	0.000000	0.000000	0.000000	0.000000	11.373694	0.000000	1.224831	16.065104	0.000000	0.670655	9.021455	0.000000	0.000000	0.000000	0.000000	6.247006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.416264
3	C	0.546689	0.000000	0.000000	0.000000	0.000000	1.267723	0.000000	2.668980	0.000000	0.344583	6.498464	0.000000	0.000000	0.000000	0.000000	4.388156	0.000000	0.843743	0.000000	0.000000	5.358133	0.000000	5.656926	0.000000	0.000000	1.439209	1.617655	0.000000	0.000000	0.000000	0.000000	1.734848	5.058516	0.000000	0.000000	3.487942	5.221212	0.584342	4.207325	4.819989	0.000000	0.000000	0.000000	0.000000	4.766455	0.000000	0.319614	7.607481	0.000000	0.300914	3.443295	0.000000	0.000000	0.000000	0.000000	3.301072	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.451365
4	H	6.763191	5.153352	0.000000	0.000000	0.000000	6.037910	3.820125	0.000000	0.000000	0.000000	9.501391	0.000000	0.000000	4.494967	3.907164	11.749686	0.000000	8.229423	0.000000	0.000000	9.062206	7.372708	16.664404	4.087349	0.000000	7.329804	4.358925	7.336474	0.000000	3.699953	5.285911	12.388414	12.128455	0.000000	0.000000	9.292195	6.620072	3.320484	17.090284	0.000000	2.373328	0.000000	0.000000	0.000000	19.228859	0.000000	2.416951	16.392496	0.000000	0.000000	22.995337	0.000000	0.000000	0.000000	14.473371	5.426105	0.000000	0.000000	6.036094	2.135071	6.275405	0.000000	0.021084	11.771404
5	H	6.734585	5.054911	0.000000	0.000000	0.000000	5.890501	3.682869	0.000000	0.000000	0.000000	9.517028	0.000000	0.000000	4.321150	3.771924	11.578919	0.000000	8.065330	0.000000	0.000000	8.937351	7.214139	16.419397	4.015232	0.000000	7.260976	4.259448	7.167221	0.000000	3.621237	5.198655	12.229417	12.001651	0.000000	0.000000	9.172954	6.593743	3.336004	16.757101	0.000000	2.367328	0.000000	0.000000	0.000000	18.880196	0.000000	2.437181	16.166414	0.000000	0.000000	22.586269	0.000000	0.000000	0.000000	14.177116	5.454628	0.000000	0.000000	5.937656	2.033594	6.189209	0.000000	0.000000	11.603480
6	H	6.693909	4.916535	0.000000	0.000000	0.000000	5.666053	3.463886	0.000000	0.000000	0.000000	9.576727	0.000000	0.000000	4.071874	3.569732	11.304850	0.000000	7.849657	0.000000	0.000000	8.746685	6.974988	16.046955	3.903390	0.000000	7.148053	4.100569	6.931651	0.000000	3.480975	5.051795	11.980868	11.831759	0.000000	0.000000	8.996470	6.562382	3.369406	16.247667	0.000000	2.347472	0.000000	0.000000	0.000000	18.346775	0.000000	2.455006	15.832329	0.000000	0.000000	21.967449	0.000000	0.000000	0.000000	13.754996	5.521006	0.000000	0.000000	5.758984	1.882298	6.065970	0.000000	0.000000	11.348947
7	H	4.910181	2.804455	0.000000	0.000000	0.000000	2.212396	0.193391	0.785443	0.000000	1.417837	8.746404	0.000000	0.000000	0.657477	1.033733	6.679618	0.000000	4.633684	0.000000	0.000000	5.885111	3.420874	9.810056	2.051760	0.000000	5.035209	1.806904	3.958833	0.000000	1.249478	3.143982	7.214575	9.113657	0.956044	0.000000	5.512130	5.757606	3.058917	9.003855	1.395357	1.404829	0.000000	0.000000	0.000000	10.543651	0.000000	2.672719	10.236096	0.000000	0.000000	12.531560	0.000000	0.000000	0.000000	7.361596	5.215996	0.000000	0.000000	3.018766	0.000000	3.705187	0.000000	0.000000	7.291577
8	H	4.759758	2.618802	0.000000	0.000000	0.000000	2.089196	0.009877	0.815739	0.000000	1.487790	8.731126	0.000000	0.000000	0.441782	0.939063	6.404384	0.000000	4.389753	0.000000	0.000000	5.716693	3.352881	9.450327	1.901891	0.000000	4.858530	1.681820	3.713340	0.000000	1.120594	2.984655	7.007612	8.929252	1.028382	0.000000	5.447211	5.709294	2.989841	8.590921	1.536700	1.307873	0.000000	0.000000	0.000000	10.124170	0.000000	2.623895	10.009360	0.000000	0.000000	12.024575	0.000000	0.000000	0.000000	6.973497	5.145350	0.000000	0.000000	2.824616	0.000000	3.557846	0.000000	0.000000	7.031688
9	H	1.986552	1.443578	0.000000	0.000000	0.000000	0.492214	0.000000	0.740777	0.000000	1.497429	4.622174	0.000000	0.000000	0.000000	0.147469	2.615649	0.000000	1.971110	0.000000	0.000000	2.872803	0.925296	3.970034	0.821823	0.000000	2.468254	0.341827	1.934473	0.325326	0.000000	1.557489	2.745233	4.786990	0.712341	0.000000	1.933832	3.212569	1.788354	3.651829	1.509071	0.000000	0.000000	0.000000	0.000000	4.281929	0.000000	1.697312	4.802632	0.000000	0.094265	4.982219	0.000000	0.000000	0.000000	2.040081	2.725968	0.000000	0.000000	0.879697	0.000000	1.423922	0.000000	0.000000	3.278587
10	H	1.950953	1.419126	0.000000	0.000000	0.000000	0.496190	0.000000	0.725277	0.000000	1.496675	4.574571	0.000000	0.000000	0.000000	0.155267	2.559387	0.000000	1.912705	0.000000	0.000000	2.824605	0.922885	3.884357	0.800549	0.000000	2.436080	0.316506	1.892893	0.341861	0.000000	1.526051	2.711123	4.715115	0.683143	0.000000	1.915660	3.172048	1.763703	3.588144	1.504336	0.000000	0.000000	0.000000	0.000000	4.200275	0.000000	1.687871	4.744581	0.000000	0.102890	4.902490	0.000000	0.000000	0.000000	1.966012	2.700101	0.000000	0.000000	0.853637	0.000000	1.395452	0.000000	0.000000	3.213517
11	H	0.554186	0.884774	0.000000	0.000000	0.000000	0.358530	0.000000	0.538934	0.000000	0.898847	2.244820	0.000000	0.000000	0.051784	0.000000	1.421100	0.000000	1.000001	0.000000	0.000000	1.632776	0.000000	2.059744	0.478233	0.000000	1.065581	0.390717	0.904677	0.834826	0.000000	0.459416	0.990981	2.145883	0.000000	0.000000	0.732339	1.794931	0.872959	1.606483	1.388192	0.000000	0.000000	0.318960	0.000000	1.831132	0.000000	0.536267	2.367266	0.000000	0.029914	1.950664	0.000000	0.000000	0.000000	0.000000	1.211770	0.000000	0.000000	0.126369	0.000000	0.268977	0.000000	0.000000	1.548916
12	H	0.539391	0.882998	0.000000	0.000000	0.000000	0.356724	0.000000	0.524949	0.000000	0.898980	2.199799	0.000000	0.000000	0.065465	0.000000	1.386375	0.000000	0.984320	0.000000	0.000000	1.591146	0.000000	2.020405	0.474777	0.000000	1.047782	0.378293	0.893716	0.836993	0.000000	0.451525	0.979776	2.102068	0.000000	0.000000	0.714030	1.758673	0.865381	1.578412	1.361789	0.000000	0.000000	0.333439	0.000000	1.792056	0.000000	0.533977	2.318791	0.000000	0.035611	1.920107	0.000000	0.000000	0.000000	0.000678	1.190380	0.000000	0.000000	0.123420	0.000000	0.267045	0.000000	0.000000	1.516370
