node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	19.363920	4.747480	0.000000	0.000000	0.000000	4.455823	0.000000	0.000000	2.146400	7.960598	26.133339	0.000000	13.220018	0.000000	0.000000	26.492943	12.911224	36.632591	0.000000	0.000000	1.640075	14.979674	5.992454	0.000000	0.841388	5.256791	11.656806	22.916142	0.000000	0.000000	21.051291	16.461483	0.000000	39.343029	0.000000	0.000000	0.000000	0.000000	0.000000	40.234791	0.000000	0.000000	35.210945	4.391128	0.000000	36.708466	0.000000	0.000000	0.000000	18.458521	0.000000	0.000000	0.000000	1.539243	4.636972	0.483183	0.000000	11.747109	27.374401
1	C	5.187928	0.000000	0.000000	0.000000	0.000000	7.210303	0.000000	4.348927	0.000000	0.000000	16.398335	0.000000	0.000000	0.000000	2.061945	17.852072	0.000000	7.842333	0.000000	0.000000	17.784618	6.156811	24.567892	0.000000	0.000000	5.841638	7.599465	2.456857	0.000000	0.000000	3.039115	12.184015	19.603420	0.000000	0.000000	14.855371	15.132637	1.746262	23.274683	5.721456	0.000000	0.000000	0.000000	0.000000	25.749462	0.000000	2.216006	27.505308	0.000000	0.000000	24.938745	0.000000	0.000000	0.000000	8.037027	8.933131	0.000000	0.000000	2.082159	0.000000	3.340759	0.000000	0.000000	18.833185
2	C	3.028419	0.000000	0.000000	0.000000	0.000000	2.342858	0.000000	3.469783	0.000000	1.616233	11.878597	0.000000	0.000000	0.000000	0.000000	7.664742	0.000000	1.785294	0.000000	0.000000	8.464568	2.091675	10.444824	0.000000	0.000000	3.561483	2.210634	0.000000	0.000000	0.000000	0.966574	5.706662	10.717682	0.000000	0.000000	7.553887	8.737974	2.257899	9.275943	5.880229	0.000000	0.000000	0.000000	0.000000	10.872196	0.000000	2.339501	14.536895	0.000000	0.590635	10.209144	0.000000	0.000000	0.000000	0.301999	6.555752	0.000000	0.000000	0.000000	0.000000	1.184846	0.000000	0.000000	8.402819
3	C	0.000000	0.000000	0.000000	0.000000	0.000000	2.085975	0.000000	2.881639	0.000000	0.000000	6.310863	0.000000	0.000000	0.000000	0.000000	5.027489	0.000000	1.221147	0.000000	0.000000	7.003382	0.000000	6.946397	0.000000	0.000000	0.568412	2.574749	0.000000	0.000000	0.000000	0.000000	0.724146	5.644946	0.000000	0.000000	4.092296	6.107878	0.000000	5.281555	5.460338	0.000000	0.000000	0.000000	0.000000	5.415844	0.000000	0.000000	8.419460	0.199834	0.000000	3.075156	0.000000	0.000000	0.000000	0.000000	2.276196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.481950
4	H	6.763191	5.153352	0.000000	0.000000	0.000000	6.037910	3.820125	0.000000	0.000000	0.000000	9.501391	0.000000	0.000000	4.494967	3.907164	11.749686	0.000000	8.229423	0.000000	0.000000	9.062206	7.372708	16.664404	4.087349	0.000000	7.329804	4.358925	7.336474	0.000000	3.699953	5.285911	12.388414	12.128455	0.000000	0.000000	9.292195	6.620072	3.320484	17.090284	0.000000	2.373328	0.000000	0.000000	0.000000	19.228859	0.000000	2.416951	16.392496	0.000000	0.000000	22.995337	0.000000	0.000000	0.000000	14.473371	5.426105	0.000000	0.000000	6.036094	2.135071	6.275405	0.000000	0.021084	11.771404
5	H	6.734585	5.054911	0.000000	0.000000	0.000000	5.890501	3.682869	0.000000	0.000000	0.000000	9.517028	0.000000	0.000000	4.321150	3.771924	11.578919	0.000000	8.065330	0.000000	0.000000	8.937351	7.214139	16.419397	4.015232	0.000000	7.260976	4.259448	7.167221	0.000000	3.621237	5.198655	12.229417	12.001651	0.000000	0.000000	9.172954	6.593743	3.336004	16.757101	0.000000	2.367328	0.000000	0.000000	0.000000	18.880196	0.000000	2.437181	16.166414	0.000000	0.000000	22.586269	0.000000	0.000000	0.000000	14.177116	5.454628	0.000000	0.000000	5.937656	2.033594	6.189209	0.000000	0.000000	11.603480
6	H	6.693909	4.916535	0.000000	0.000000	0.000000	5.666053	3.463886	0.000000	0.000000	0.000000	9.576727	0.000000	0.000000	4.071874	3.569732	11.304850	0.000000	7.849657	0.000000	0.000000	8.746685	6.974988	16.046955	3.903390	0.000000	7.148053	4.100569	6.931651	0.000000	3.480975	5.051795	11.980868	11.831759	0.000000	0.000000	8.996470	6.562382	3.369406	16.247667	0.000000	2.347472	0.000000	0.000000	0.000000	18.346775	0.000000	2.455006	15.832329	0.000000	0.000000	21.967449	0.000000	0.000000	0.000000	13.754996	5.521006	0.000000	0.000000	5.758984	1.882298	6.065970	0.000000	0.000000	11.348947
7	H	4.877460	2.818699	0.000000	0.000000	0.000000	2.220217	0.243592	0.793799	0.000000	1.353608	8.648403	0.000000	0.000000	0.720110	1.001946	6.706297	0.000000	4.682890	0.000000	0.000000	5.881642	3.357936	9.839181	2.062763	0.000000	5.007023	1.852365	3.968990	0.000000	1.274514	3.125210	7.174415	9.048935	0.907164	0.000000	5.468038	5.718128	3.037291	9.000292	1.371848	1.409454	0.000000	0.000000	0.000000	10.531677	0.000000	2.618376	10.173459	0.000000	0.000000	12.492620	0.000000	0.000000	0.000000	7.384234	5.156726	0.000000	0.000000	3.017731	0.000000	3.689930	0.000000	0.000000	7.297114
8	H	4.729116	2.641975	0.000000	0.000000	0.000000	2.092390	0.065535	0.819893	0.000000	1.425835	8.601171	0.000000	0.000000	0.511880	0.922126	6.434028	0.000000	4.439284	0.000000	0.000000	5.718927	3.273260	9.474164	1.922089	0.000000	4.833760	1.728045	3.739959	0.000000	1.139419	2.978485	6.950480	8.866774	0.959770	0.000000	5.373124	5.665426	2.969208	8.608480	1.487805	1.315253	0.000000	0.000000	0.000000	10.120164	0.000000	2.585030	9.936097	0.000000	0.000000	11.996685	0.000000	0.000000	0.000000	6.986876	5.094147	0.000000	0.000000	2.831833	0.000000	3.541498	0.000000	0.000000	7.045840
9	H	1.807528	1.468847	0.000000	0.000000	0.000000	0.396170	0.000000	0.761552	0.000000	1.345985	4.212298	0.000000	0.000000	0.002428	0.000000	2.594182	0.000000	2.093667	0.000000	0.000000	2.782962	0.583485	3.928254	0.862369	0.000000	2.273076	0.501469	1.914981	0.455654	0.000000	1.442586	2.432257	4.455441	0.631004	0.000000	1.660171	3.039189	1.687847	3.417688	1.473552	0.037203	0.000000	0.000000	0.000000	4.026277	0.000000	1.428864	4.392219	0.000000	0.022474	4.562752	0.000000	0.000000	0.000000	1.941625	2.444628	0.000000	0.000000	0.817205	0.000000	1.281058	0.000000	0.000000	3.173382
