node	atom	dim0	dim1	dim2	dim3	dim4	dim5	dim6	dim7	dim8	dim9	dim10	dim11	dim12	dim13	dim14	dim15	dim16	dim17	dim18	dim19	dim20	dim21	dim22	dim23	dim24	dim25	dim26	dim27	dim28	dim29	dim30	dim31	dim32	dim33	dim34	dim35	dim36	dim37	dim38	dim39	dim40	dim41	dim42	dim43	dim44	dim45	dim46	dim47	dim48	dim49	dim50	dim51	dim52	dim53	dim54	dim55	dim56	dim57	dim58	dim59	dim60	dim61	dim62	dim63
0	C	0.000000	0.000000	0.000000	0.000000	0.000000	18.577703	4.036664	0.000000	0.000000	0.000000	2.741255	0.000000	0.000000	1.746827	7.280514	24.409369	0.000000	12.177847	0.000000	0.000000	25.344301	11.623575	34.184631	0.000000	0.000000	0.513548	14.374969	5.306195	0.000000	0.023522	4.564591	9.578835	21.295891	0.000000	0.000000	19.347532	15.478614	0.000000	36.915642	0.000000	0.000000	0.000000	0.000000	0.000000	37.466007	0.000000	0.000000	32.809010	5.546204	0.000000	33.223515	0.000000	0.000000	0.000000	16.132780	0.000000	0.000000	0.000000	0.400225	4.069196	0.000000	0.000000	11.880749	25.729568
1	C	6.999258	0.000000	0.000000	0.000000	0.000000	4.736104	0.000000	3.286467	0.000000	3.024395	18.763725	0.000000	0.000000	0.000000	2.022145	11.553448	0.000000	3.065868	0.000000	0.000000	11.239894	7.437653	16.806576	0.000673	0.000000	6.602757	3.128022	1.469053	0.000000	0.000000	2.875947	12.538894	16.474785	0.000000	0.000000	13.822851	12.215925	3.927612	15.749878	6.464077	1.021605	0.000000	0.000000	0.000000	18.783911	0.000000	4.299019	22.721743	0.000000	0.299467	20.379911	0.000000	0.000000	0.000000	6.822731	10.012336	0.000000	0.000000	1.813096	0.000000	4.277249	0.000000	0.000000	12.436367
2	C	0.454864	0.000000	0.000000	0.000000	0.000000	3.222257	0.000000	4.480029	0.000000	0.000000	9.978554	0.000000	0.000000	0.000000	0.000000	9.650724	0.000000	2.977211	0.000000	0.000000	11.671458	0.418007	12.875796	0.000000	0.000000	1.641045	4.586739	0.000000	0.000000	0.000000	0.000000	3.469397	11.330727	0.000000	0.000000	7.688926	10.309440	0.028761	11.146295	6.716203	0.000000	0.000000	0.000000	0.000000	12.320525	0.000000	0.174169	16.089619	0.000000	0.068237	8.986583	0.000000	0.000000	0.000000	0.000000	4.865110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.626769
3	C	0.380273	0.000000	0.000000	0.000000	0.000000	2.043866	0.000000	3.871113	0.000000	0.000000	8.813344	0.000000	0.000000	0.000000	0.000000	6.345077	0.000000	0.846202	0.000000	0.000000	7.845061	0.000000	8.005282	0.000000	0.000000	1.577994	2.529242	0.000000	0.000000	0.000000	0.000000	2.222047	7.075714	0.000000	0.000000	5.279449	7.353183	0.273096	6.236438	6.700397	0.000000	0.000000	0.000000	0.000000	7.049875	0.000000	0.140654	11.172629	0.000000	0.390679	4.811690	0.000000	0.000000	0.000000	0.000000	4.338913	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.443223
4	H	6.283591	4.865127	0.000000	0.000000	0.000000	5.431079	3.390397	0.000000	0.000000	0.000000	8.942169	0.000000	0.000000	4.076171	3.427152	10.964557	0.000000	7.768404	0.000000	0.000000	8.524220	6.599642	15.533917	3.787947	0.000000	6.888791	4.023850	6.930930	0.000000	3.374995	4.970351	11.372235	11.462776	0.000000	0.000000	8.446959	6.330278	3.183886	15.877266	0.000000	2.123806	0.000000	0.000000	0.000000	17.838392	0.000000	2.359644	15.213411	0.000000	0.000000	21.244848	0.000000	0.000000	0.000000	13.392570	5.084938	0.000000	0.000000	5.588723	1.818872	5.787844	0.000000	0.000000	11.050913
5	H	6.250293	4.770284	0.000000	0.000000	0.000000	5.292220	3.257919	0.000000	0.000000	0.000000	8.969109	0.000000	0.000000	3.924999	3.303176	10.788399	0.000000	7.630956	0.000000	0.000000	8.400953	6.450069	15.299500	3.713379	0.000000	6.809804	3.927616	6.776370	0.000000	3.285563	4.871209	11.210457	11.348603	0.000000	0.000000	8.336149	6.307549	3.199616	15.552395	0.000000	2.110650	0.000000	0.000000	0.000000	17.498354	0.000000	2.364749	14.998657	0.000000	0.000000	20.851799	0.000000	0.000000	0.000000	13.122880	5.124450	0.000000	0.000000	5.467586	1.731738	5.708678	0.000000	0.000000	10.886992
6	H	6.208517	4.632750	0.000000	0.000000	0.000000	5.069771	3.040053	0.000000	0.000000	0.000000	9.031453	0.000000	0.000000	3.681019	3.103618	10.513066	0.000000	7.421511	0.000000	0.000000	8.210658	6.213022	14.929532	3.600962	0.000000	6.694504	3.769495	6.544233	0.000000	3.142795	4.721569	10.961257	11.181662	0.000000	0.000000	8.161637	6.277029	3.233068	15.044907	0.000000	2.089120	0.000000	0.000000	0.000000	16.966942	0.000000	2.379037	14.667213	0.000000	0.000000	20.236723	0.000000	0.000000	0.000000	12.706968	5.193397	0.000000	0.000000	5.283604	1.583796	5.587085	0.000000	0.000000	10.633393
7	H	2.632368	1.539024	0.000000	0.000000	0.000000	0.643356	0.000000	0.989065	0.000000	1.477553	5.839267	0.000000	0.000000	0.000000	0.107836	3.666142	0.000000	2.704185	0.000000	0.000000	3.785095	1.230622	5.541771	0.998545	0.000000	2.933661	0.783011	2.263283	0.000000	0.000000	1.813436	3.609760	6.072866	0.893983	0.000000	2.769407	4.069342	2.148694	4.792718	1.686989	0.316070	0.000000	0.000000	0.000000	5.719447	0.000000	1.883489	6.078031	0.000000	0.014902	6.463436	0.000000	0.000000	0.000000	3.143384	3.465533	0.000000	0.000000	1.225760	0.000000	1.873882	0.000000	0.000000	4.424738
8	H	2.517618	1.482919	0.000000	0.000000	0.000000	0.592257	0.000000	0.934695	0.000000	1.536732	5.645587	0.000000	0.000000	0.000000	0.130389	3.406741	0.000000	2.483103	0.000000	0.000000	3.584890	1.195344	5.158522	0.940047	0.000000	2.827310	0.662982	2.151922	0.000000	0.000000	1.761224	3.429815	5.826082	0.884100	0.000000	2.617730	3.923864	2.076990	4.514053	1.678098	0.257625	0.000000	0.000000	0.000000	5.394423	0.000000	1.869849	5.856794	0.000000	0.042892	6.127930	0.000000	0.000000	0.000000	2.847585	3.346690	0.000000	0.000000	1.142710	0.000000	1.764253	0.000000	0.000000	4.161188
9	H	2.439774	1.451122	0.000000	0.000000	0.000000	0.564978	0.000000	0.901965	0.000000	1.553638	5.501670	0.000000	0.000000	0.000000	0.149212	3.247362	0.000000	2.346093	0.000000	0.000000	3.451885	1.175450	4.912910	0.894027	0.000000	2.765281	0.578738	2.091614	0.000000	0.000000	1.721681	3.314251	5.656318	0.866188	0.000000	2.506603	3.812694	2.026942	4.343507	1.662879	0.202866	0.000000	0.000000	0.000000	5.179900	0.000000	1.859936	5.699167	0.000000	0.063542	5.919016	0.000000	0.000000	0.000000	2.662313	3.263292	0.000000	0.000000	1.088350	0.000000	1.705358	0.000000	0.000000	3.997867
